Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2021-11-04,89164.66,,,,-86090.65
2021-11-05,72713.46,,,,-73987.49
2021-11-06,63444.90,,,,-60526.82
2021-11-07,55963.91,,,,-52529.99
2021-11-08,55796.26,,,,-70956.52
2021-11-09,52109.99,,,,-106930.80
2021-11-10,138920.17,,,,-152547.59
2021-11-11,78101.42,,,,-87970.64
2021-11-12,109687.43,,,,61566.86
2021-11-13,79039.90,,,,43465.37
2021-11-14,68127.29,,,,44240.24
2021-11-15,54151.26,,,,51510.60
2021-11-16,72503.61,,,,79759.64
2021-11-17,79546.47,,,,80098.76
2021-11-18,54836.97,,,,78501.75
2021-11-19,72127.70,,,,55345.73
2021-11-20,133207.52,,,,43782.26
2021-11-21,81100.60,,,,43297.71
2021-11-22,79292.52,,,,64691.16
2021-11-23,78216.27,,,,54727.69
2021-11-24,72996.07,,,,51893.65
2021-11-25,90310.10,,,,45552.22
2021-11-26,81284.70,,,,73033.30
2021-11-27,56015.16,,,,39915.73
2021-11-28,58260.41,,,,56483.71
2021-11-29,69339.73,,,,44254.25
2021-11-30,81523.85,,,,77775.08
2021-12-01,83456.56,,,,55339.59
2021-12-02,67518.41,,,,46052.28
2021-12-03,50925.94,,,,49495.11
2021-12-04,48773.38,,,,167839.10
2021-12-05,65502.64,,,,59816.75
2021-12-06,69913.74,,,,62915.92
2021-12-07,76409.45,,,,37487.40
2021-12-08,111670.26,,,,42126.32
2021-12-09,51287.04,,,,39831.98
2021-12-10,39936.15,,,,54552.47
2021-12-11,57098.23,,,,29681.99
2021-12-12,50644.43,,,,21746.90
2021-12-13,52612.07,,,,42014.61
2021-12-14,43260.70,,,,46272.55
2021-12-15,24816.65,,,,48792.58
2021-12-16,25875.25,,,,36287.17
2021-12-17,40166.50,,,,41370.87
2021-12-18,42994.17,,,,22886.23
2021-12-19,33565.85,,,,21947.69
2021-12-20,33298.87,,,,26429.40
2021-12-21,31986.39,,,,19128.74
2021-12-22,27763.46,,,,26520.06
2021-12-23,38244.97,,,,35648.34
2021-12-24,37290.43,,,,33141.67
2021-12-25,20690.92,,,,25273.39
2021-12-26,27080.45,,,,28325.78
2021-12-27,21513.25,,,,40402.47
2021-12-28,25172.02,,,,54834.48
2021-12-29,27184.22,,,,59572.30
2021-12-30,53923.08,,,,43276.76
2021-12-31,56219.96,,,,37428.41
2022-01-01,55728.38,,,,24449.25
2022-01-02,47474.75,,,,29945.20
2022-01-03,49602.44,,,,43878.39
2022-01-04,80320.26,,,,60400.88
2022-01-05,68857.42,,,,82875.91
2022-01-06,67550.10,,,,62269.26
2022-01-07,56087.38,,,,78021.76
2022-01-08,50382.80,,,,16325.18
2022-01-09,26693.20,,,,17707.80
2022-01-10,30615.57,,,,35917.57
2022-01-11,73336.54,,,,20733.89
2022-01-12,60542.08,,,,14922.79
2022-01-13,71016.58,,,,22552.14
2022-01-14,76163.39,,,,15509.33
2022-01-15,78583.77,,,,6058.35
2022-01-16,77535.92,,,,6821.78
2022-01-17,62805.56,,,,8680.78
2022-01-18,59490.50,,,,8644.23
2022-01-19,46045.06,,,,13115.07
2022-01-20,78566.88,,,,17893.91
2022-01-21,53272.66,,,,58092.61
2022-01-22,8067.41,,,,42526.60
2022-01-23,22668.03,,,,18107.98
2022-01-24,23809.88,,,,34686.15
2022-01-25,25334.29,,,,15323.50
2022-01-26,44214.55,,,,21608.49
2022-01-27,19052.29,,,,16924.37
2022-01-28,16096.74,,,,13301.21
2022-01-29,24893.54,,,,7799.55
2022-01-30,25886.35,,,,8300.67
2022-01-31,9044.78,,,,10037.28
2022-02-01,11552.55,,,,13973.49
2022-02-02,18162.02,,,,16391.05
2022-02-03,29114.79,,,,10541.98
2022-02-04,24370.19,,,,9832.28
2022-02-05,24548.79,,,,4169.67
2022-02-06,31595.11,,,,4006.66
2022-02-07,-1346.95,,,,9450.23
2022-02-08,35733.54,,,,7583.12
2022-02-09,28383.66,,,,5748.63
2022-02-10,15681.07,,,,9399.01
2022-02-11,26500.96,,,,6019.49
2022-02-12,34355.77,,,,3082.38
2022-02-13,22543.44,,,,2523.64
2022-02-14,10543.20,,,,3553.77
2022-02-15,15231.88,,,,2513.43
2022-02-16,8104.72,,,,4645.63
2022-02-17,11001.79,,,,3031.84
2022-02-18,-10048.88,,,,3363.00
2022-02-19,27545.63,,,,312.05
2022-02-20,30818.07,,,,1938.10
2022-02-21,-7349.37,,,,5873.72
2022-02-22,24045.52,,,,1580.72
2022-02-23,27344.42,,,,4601.56
2022-02-24,23046.51,,,,15908.06
2022-02-25,35407.37,,,,940.44
2022-02-26,35969.92,,,,-504.22
2022-02-27,27188.70,,,,692.76
2022-02-28,2284.74,,,,5966.17
2022-03-01,28520.95,,,,1340.94
2022-03-02,33387.14,,,,1628.51
2022-03-03,45035.83,,,,557.28
2022-03-04,7345.28,,,,1714.71
2022-03-05,7932.60,,,,-1603.59
2022-03-06,807.92,,,,-774.33
2022-03-07,8901.05,,,,1117.33
2022-03-08,8191.46,,,,838.18
2022-03-09,17134.29,,,,582.21
2022-03-10,9465.72,,,,1408.45
2022-03-11,8376.79,,,,7188.26
2022-03-12,11699.10,,,,-1266.32
2022-03-13,2941.61,,,,-1266.30
2022-03-14,1981.30,,,,-688.01
2022-03-15,-480.54,,,,-363.35
2022-03-16,1532.68,,,,5995.32
2022-03-17,-841.22,,,,-1347.59
2022-03-18,18398.75,,,,2549.61
2022-03-19,23236.77,,,,6656.02
2022-03-20,15139.66,,,,5279.35
2022-03-21,5267.82,,,,-11130.78
2022-03-22,3345.45,,,,3833.94
2022-03-23,22135.60,,,,3704.26
2022-03-24,6802.49,,,,7740.77
2022-03-25,14478.72,,,,16332.20
2022-03-26,29724.46,,,,9302.24
2022-03-27,4355.11,,,,9320.82
2022-03-28,-10231.05,,,,29067.21
2022-03-29,18721.22,,,,29081.85
2022-03-30,10501.31,,,,34697.15
2022-03-31,15145.10,,,,34439.59
2022-04-01,9875.53,,,,34917.56
2022-04-02,71203.67,,,,26657.59
2022-04-03,19332.89,,,,19136.81
2022-04-04,1867.74,,,,28717.41
2022-04-05,11016.44,,,,53065.95
2022-04-06,40613.33,,,,24497.03
2022-04-07,26182.12,,,,17831.13
2022-04-08,38341.21,,,,13728.54
2022-04-09,27764.59,,,,6573.96
2022-04-10,15946.44,,,,5159.64
2022-04-11,4270.79,,,,13239.36
2022-04-12,11133.50,,,,11037.17
2022-04-13,11923.35,,,,10080.39
2022-04-14,6917.99,,,,10956.98
2022-04-15,21831.35,,,,8219.24
2022-04-16,20439.65,,,,4050.45
2022-04-17,17716.38,,,,4691.86
2022-04-18,4768.29,,,,7949.58
