Date,MakerDAO ($),Ethena ($),Abracadabra.money ($),Vesta Finance ($),Origin DeFi ($),Reflexer ($),Liquity ($)
1/30/2022,161623.37,,525673.4,,2071.58,-985.17,-100578.97
1/31/2022,-9858050.27,,399124.71,,252.88,175.74,-40415.7
2/1/2022,213818.51,,121498.91,,257.05,-34884.66,-119271.18
2/2/2022,226469.07,,78556.77,,3139.88,-2303.14,-5044.53
2/3/2022,320660.47,,146627.06,,273.55,-5014.57,-65288.51
2/4/2022,298195.32,,128186.38,,7399.62,-23729.7,-45616.22
2/5/2022,237072.63,,116680.48,,102.06,-7462.21,-7441.25
2/6/2022,262661.7,,234415.97,,11324.96,-50562.99,-39808.55
2/7/2022,63352.77,,120378.34,-3795.27,140.53,-783.93,-23574.44
2/8/2022,224796.03,,99304.14,0,314.63,-1691.54,-50773.31
2/9/2022,281409.97,,-16345.56,168034.72,3829,-9452.81,-58779.78
2/10/2022,265388.16,,133482.4,6103.61,308,-32021.08,-39344.22
2/11/2022,185820.84,,74508.11,-6886.66,2141.31,-8678.23,-103859.11
2/12/2022,282550.48,,126449.7,-2553.82,137.71,-2214.11,-29733.57
2/13/2022,167565.12,,75995.76,-17135.21,939.92,-27623.49,-133432.65
2/14/2022,-472740.09,,85046.82,-10467.1,2616.23,-57076.44,-57035.68
2/15/2022,212922.5,,109596.7,-18684.28,117.08,215.23,96099.65
2/16/2022,303863.3,,83808.45,-11609.77,4575.68,-12512.49,-84982.89
2/17/2022,245227.99,,91435.39,-4361.57,2020.98,-576631.68,-20321.28
2/18/2022,181473.86,,93461.27,-6568.38,5513.71,-28250.18,-463098.09
2/19/2022,133289.48,,109709.7,-1509.23,30.9,-68149.72,-48317.02
2/20/2022,185293.24,,101762.18,-5468.8,1082.98,-50783.8,-20306.95
2/21/2022,410921.2,,84840.68,-9121.58,3518.6,-46515.88,13249.83
2/22/2022,266183.26,,100315.34,-7020.03,2216.18,-5068.75,-94322.47
2/23/2022,247251.16,,120504.96,-3407.86,1243.74,-13131.16,116771.86
2/24/2022,384328.83,,97253.75,-2931.12,1735.76,-15821.8,-43047.22
2/25/2022,-190648.71,,122170.66,644.54,1157.8,-12292.17,-777.98
2/26/2022,162413.11,,-17596.82,-11159.06,2884.39,182.69,-79903.74
2/27/2022,173840.15,,94330.08,-1618.43,3841.27,487.36,-48442.9
2/28/2022,273830.51,,77951.11,-815.57,3543.29,-7485.51,11093.35
3/1/2022,-538797.69,,94510.21,-4371.08,2951.42,-1767.11,34906.67
