Date,,,,,,,,,,,MakerDAO ($),Abracadabra.money ($),Liquity ($),Ethena ($),Origin DeFi ($),Reflexer ($),Vesta Finance ($),Angle ($)
1/10/2022,439742.55,246230.41,1083.17,,4735.35,1197.15,,,,,,,,,,,,
1/11/2022,363958.63,300616.86,38963.51,,4049.04,1197.15,,,,,,,,,,,,
1/12/2022,356659.24,211152.2,30753.21,,31327.65,1197.15,,,,,,,,,,,,
1/13/2022,319044.62,715746.4,2186.37,,3859.79,1197.15,,,,,,,,,,,,
1/14/2022,381669.48,219818.47,1227.68,,91109.4,1197.15,,,,,,,,,,,,
1/15/2022,413461.56,246092.32,109860.61,,67366.8,1197.15,,,,,,,,,,,,
1/16/2022,333692.34,321388.37,22319.54,,77928.61,1197.15,,,,,,,,,,,,
1/17/2022,405046.53,590338.8,15652.41,,2121.6,1197.15,,,,,,,,,,,,
1/18/2022,378399.85,415747.19,13750.33,,3998.83,1197.15,,,,,,,,,,,,
1/19/2022,295030.14,445000.64,19728.78,,29876.53,1197.15,,,,,,,,,,,,
1/20/2022,448973,262853.9,52387.13,,44481.48,241.26,,,,,,,,,,,,
1/21/2022,6738742.3,298141.27,192987.7,,59634.54,212.84,,,,,,,,,,,,
1/22/2022,21867474.66,688800.03,24871.48,,20903.86,200.53,,,,,,,,,,,,
1/23/2022,326155.71,201386.65,42204.61,,14611.08,194.71,,,,,,,,,,,,
1/24/2022,801523.94,395798.75,83424.23,,67978.7,192.84,,,,,,,,,,,,
1/25/2022,280546.32,229349.23,32252.03,,19750.43,189.64,,,,,,,,,,,,
1/26/2022,251375.57,526962.36,76640.97,,24050.02,190.77,,,,,,,,,,,,
1/27/2022,281628.69,2603783.74,55335.44,,6933.38,190.93,,,,,,,,,,,,
1/28/2022,281591.98,819309.08,11265.24,,24062.16,176.59,,,,,,,,,,,,
1/29/2022,268710.53,954632.17,3722.76,,16251.63,174.21,,,,,,,,,,,,
1/30/2022,161638.34,540625.66,2180.48,,20715.79,174.83,,,,,,,,,,,,
1/31/2022,395066.34,421951.21,3901.19,,2528.8,175.74,,,,,,,,,,,,
2/1/2022,258233.66,123910.57,34844.57,,2570.51,176.94,,,,,,,,,,,,
2/2/2022,226498.22,96248.53,3708.88,,31398.82,180.97,,,,,,,,,,,,
2/3/2022,320695.68,148668.12,37245.74,,2735.48,180.6,,,,,,,,,,,,
2/4/2022,298224.55,134902.52,38150.01,,73996.22,183.98,,,,,,,,,,,,
2/5/2022,237108.29,123558.61,62154.98,,1020.61,195.39,,,,,,,,,,,,
2/6/2022,262697.35,439698.72,2358.8,,113249.6,197.94,,,,,,,,,,,,
2/7/2022,302954.8,130987.76,41212.4,,1405.29,198.16,3.96,,,,,,,,,,,
2/8/2022,224832.03,109273.7,4163.82,,3146.25,199.31,0,,,,,,,,,,,
2/9/2022,281448.24,100931,2183.23,,53286.41,200.89,172595.44,,,,,,,,,,,
2/10/2022,265418.67,147523.66,15429.53,,4470.97,204.27,13399.82,,,,,,,,,,,
2/11/2022,207461.91,77510.27,1124.75,,28904.52,206.6,8119.45,,,,,,,,,,,
2/12/2022,282572.59,139542.45,410.87,,1377.08,210.69,2508.47,,,,,,,,,,,
2/13/2022,167565.12,90352.44,3213.58,,9399.2,215.96,554.57,,,,,,,,,,,
2/14/2022,330782.58,89345.86,1137.04,,46752.27,214.91,910.07,,,,,,,,,,,
2/15/2022,212950.37,114894.27,104699.29,,1170.78,215.23,7876.18,,,,,,,,,,,
2/16/2022,303893.3,91706.8,1305.19,,72751.43,1086.27,1030.21,,,,,,,,,,,
2/17/2022,245566.87,94013.98,792.59,,37684.35,1133.32,1347.6,,,,,,,,,,,
2/18/2022,181485.6,98774.97,2296.95,,96397.03,1178.57,919.24,,,,,,,,,,,
2/19/2022,133327.39,114814.75,3210.7,,309,1168.79,257.27,,,,,,,,,,,
2/20/2022,185639.02,106522.86,409.69,,13320.38,1167.01,240.27,,,,,,,,,,,
2/21/2022,411292.42,104429.98,25696.68,,68896.31,1161.92,1998.72,,,,,,,,,,,
2/22/2022,267551.49,106494.98,4036.29,,40641.95,1148.85,2009.74,,,,,,,,,,,
2/23/2022,247278.36,124612.67,138016.05,,17431.24,1111.62,1000,,,,,,,,,,,
2/24/2022,390356.45,123918.74,29373.08,,28065.96,1061.72,1231.65,,,,,,,,,,,
2/25/2022,206405.29,125485.21,5238.82,,11577.96,1064.45,1791.81,,,,,,,,,,,
2/26/2022,162449.04,79868.07,26537.36,,33835.83,1081.5,1045.11,,,,,,,,,,,
2/27/2022,173854.44,98487.38,4597.33,,49305.55,1067.5,255.42,,,,,,,,,,,
2/28/2022,273871.69,84306.16,13287.53,,55025.95,1070.78,1353.37,,,,,,,,,,,
3/1/2022,176432.01,100395.92,59387.18,,39823.73,1085.52,407.36,,,,,,,,,,,
3/2/2022,229869.32,109325.58,56666.19,,13576.31,2181,167.42,,,,,,,,,,,
3/3/2022,235071.42,111736.72,8396.47,,16808.42,2188.47,389.32,,,,,,,,,,,
3/4/2022,136493.9,102070.29,2833.11,,31235.31,2191.99,1143.1,,,,,,,,,,,
3/5/2022,139945.88,87847.41,3984.2,,16213.3,2163.79,148.56,,,,,,,,,,,
3/6/2022,271389.86,100432.29,2929.12,,15660.74,2164.54,113.37,,,,,,,,,,,
3/7/2022,294810.64,114052.12,2029.68,,34286.58,2154.47,516.78,,,,,,,,,,,
3/8/2022,184938.45,82008.5,555.76,,17608.19,2155.69,1241.31,,,,,,,,,,,
3/9/2022,204822.48,128111.54,1062.37,,12878.89,2161.78,1421.36,,,,,,,,,,,
3/10/2022,159762.3,78566.7,1029.92,,13171.08,2162.71,292.69,,,,,,,,,,,
3/11/2022,125387.47,104190.18,1713.95,,20385.84,2157.83,62.68,,,,,,,,,,,
3/12/2022,118552.98,75714.5,1714.82,,9782.09,2153.25,415.13,,,,,,,,,,,
3/13/2022,317167.65,106014.2,776.13,,11367.94,2156.95,82.17,,,,,,,,,,,
3/14/2022,166620.74,100445.29,9114.26,,11707.33,2159.52,3.95,,,,,,,,,,,
3/15/2022,199862,106073.16,9664.19,,13527.39,2154.57,380.12,,,,,,,,,,,
3/16/2022,180294.98,74890.42,20400.46,,21586.95,2161.31,73.15,,,,,,,,,,,
3/17/2022,169379.25,102420.8,8455.1,,11116.02,2152.79,728.91,,,,,,,,,,,
3/18/2022,211234.41,68790.04,41000.72,,11293.98,2193.61,28.21,,,,,,,,,,,
3/19/2022,193117.45,118937.28,2476.28,,10905.28,2047.97,220.38,,,,,,,,,,,
3/20/2022,173854.4,70299.34,11886.18,,11050.34,1993.13,33.76,,,,,,,,,,,
3/21/2022,185800.98,114177.83,279.61,,23001.91,1990.38,230.7,,,,,,,,,,,
3/22/2022,169748.88,85944.16,13227.89,,9477.44,2017.49,352.82,,,,,,,,,,,
3/23/2022,176195.34,149784.78,3479.13,,10774.92,3093.53,251.44,,,,,,,,,,,
3/24/2022,232190.53,88389.95,27041.46,,26349.34,3088.43,21012.85,,,,,,,,,,,
3/25/2022,155118.71,133351.91,2155.51,,20288.97,2715.76,4999.7,,,,,,,,,,,
3/26/2022,192988.37,82669.3,706.24,,18320.9,2724.91,214.49,,,,,,,,,,,
3/27/2022,200287.63,105887.82,19443.46,,7462.96,2744.13,161.05,,,,,,,,,,,
3/28/2022,208003.04,74788.19,7781.09,,18451.66,2756.09,388.23,,,,,,,,,,,
3/29/2022,156901.45,118537.91,4217.75,,9774.14,3762.62,290.84,,,,,,,,,,,
3/30/2022,222812.08,105628.32,1744.76,,11721.05,3752.09,3277.72,,,,,,,,,,,
3/31/2022,199343.91,200184.32,16241.48,,11443.14,3809.44,760.32,,,,,,,,,,,
4/1/2022,223931.05,66827.6,11050.17,,14122.94,3787.15,3268.58,,,,,,,,,,,
4/2/2022,185288.01,84471.37,34961.94,,219531.99,3766.1,1592.53,,,,,,,,,,,
4/3/2022,189050.44,62281.03,2067.77,,8083.54,3805.17,646.97,,,,,,,,,,,
4/4/2022,695920.8,94311.33,7800.07,,36730.11,3792.51,435.5,,,,,,,,,,,
4/5/2022,200549.84,53652.59,4124.55,,9717.94,3835.76,201,,,,,,,,,,,
4/6/2022,226220.35,112166.7,1182.84,,9221.51,3903.08,350.84,,,,,,,,,,,
4/7/2022,190414.85,59114.05,3861.98,,8647.33,3852.74,2693.88,,,,,,,,,,,
4/8/2022,137002.51,75662.06,4685.46,,8126.25,3872.53,272.56,,,,,,,,,,,
4/9/2022,90960.27,60899.95,1455.38,,9580.76,3880.75,3008.85,,,,,,,,,,,
4/10/2022,363152.56,74005.53,1680.5,,7045.4,3594.44,20.99,,,,,,,,,,,
4/11/2022,825721.08,62396.88,17018.31,,8349.52,3567.5,2798.32,,,,,,,,,,,
4/12/2022,175031.62,74248.52,6490.24,,8255.79,3515.16,1761.16,,,,,,,,,,,
4/13/2022,194077.03,49584.23,4135.96,,8051.71,3484.24,912.98,,,,,,,,,,,
4/14/2022,329141.45,73742.57,3184.14,,7741.1,3476.51,496.73,,,,,,,,,,,
4/15/2022,147089.31,38673,1334.93,,7589.06,3473.42,2224.1,,,,,,,,,,,
4/16/2022,228969.39,83686.01,1436.57,,7475.2,3465.25,971.04,,,,,,,,,,,
4/17/2022,198902.65,46337.41,6268,,7357.76,3334,411.41,,,,,,,,,,,
4/18/2022,833598.33,73552.38,8019.7,,24272.76,3109.79,1003.52,,,,,,,,,,,
4/19/2022,154362.84,44362.87,2567.73,,7145.53,3111.67,12064.14,,,,,,,,,,,
4/20/2022,5051376.58,75722.71,10267.44,,69053.66,3101.51,646.97,,,,,,,,,,,
4/21/2022,185764.82,64626.02,3172.27,,2445.09,3075.9,1100.99,,,,,,,,,,,
4/22/2022,175784.92,79797.51,7574.7,,6217.46,3075.69,614.28,,,,,,,,,,,
4/23/2022,121351.17,48160.26,499.5,,6049.71,3087.31,476.03,,,,,,,,,,,
4/24/2022,242654.31,68984.45,174.65,,5977.99,3091.86,117.46,,,,,,,,,,,
4/25/2022,346679.38,41911.84,1708.09,,9141.24,3005.84,2806.07,,,,,,,,,,,
4/26/2022,240588.49,90801.76,5590.07,,1894.64,2956.22,1446.82,,,,,,,,,,,
4/27/2022,151540.61,34168.56,5000.96,,5441.76,2953.68,855.58,,,,,,,,,,,
4/28/2022,164437.85,85425.25,16319.96,,5527.16,2944.51,996.09,,,,,,,,,,,
4/29/2022,228479.77,51259.06,979.08,,5477.67,2924.73,500.1,,,,,,,,,,,
4/30/2022,256763.98,70179.44,1996.51,,5458.73,2910.64,599.49,,,,,,,,,,,
5/1/2022,200087.55,31530.92,980.78,,5377.82,2873.86,52.19,,,,,,,,,,,
5/2/2022,147678.52,84751.7,1170.19,,5296.03,2819.18,2370.45,,,,,,,,,,,
5/3/2022,223343.53,47466.05,545.21,,5125.43,2798.89,44.09,,,,,,,,,,,
5/4/2022,239852.53,74355.54,27882.35,,7607.65,2799.97,657.08,,,,,,,,,,,
5/5/2022,148606.87,49382.55,2749.18,,7410.38,2772.85,302.2,,,,,,,,,,,
5/6/2022,185310.32,65071.15,4692.83,,7095.05,2792,155.76,,,,,,,,,,,
5/7/2022,249448.59,50437.23,9605.38,,6767.09,2910.22,61.07,,,,,,,,,,,
5/8/2022,238308.36,91846.17,8328.09,,6541.33,2836.38,2012.08,,,,,,,,,,,
5/9/2022,510772.99,118990.88,11858.25,,6162.91,2710.41,3303.78,,,,,,,,,,,
5/10/2022,238181.55,51709.92,34162.72,,23059.3,2601.84,169.6,,,,,,,,,,,
5/11/2022,1406613.58,22591.96,63174.88,,135182.19,2377.89,11717.37,,,,,,,,,,,
5/12/2022,2125037.95,28027.49,9478.78,,81694.44,2191.15,6813.49,,,,,,,,,,,
5/13/2022,150127.99,17198.77,6420.5,,4972.86,2071.47,845.14,,,,,,,,,,,
5/14/2022,139514.45,20426.12,9699.6,,4438.77,2145.87,24.17,,,,,,,,,,,
5/15/2022,158632.96,18944.77,5055.41,,10567.75,1886.92,202.42,,,,,,,,,,,
5/16/2022,117745.39,20314.48,15785.9,,5153.06,1899.09,137.46,,,,,,,,,,,
5/17/2022,170351.53,11874.04,3617.78,,4938.41,1929.89,198.24,,,,,,,,,,,
5/18/2022,130046.39,13761.24,5351.31,,3982.89,1923.29,29.2,,,,,,,,,,,
5/19/2022,88889.76,20831.9,3608.66,,3724.5,1893.6,512.2,,,,,,,,,,,
5/20/2022,148740.65,20699.02,790.29,,3506.57,1877.03,10.41,,,,,,,,,,,
5/21/2022,99061.25,5934.34,698.39,,3528.79,1900.45,17.04,,,,,,,,,,,
5/22/2022,103831.93,19707.66,178.92,,3305.68,1919,174.63,,,,,,,,,,,
5/23/2022,96143.03,10120.73,118.89,,3027.2,1920.82,308.22,,,,,,,,,,,
5/24/2022,119384.65,22369.3,11728.86,,2830.18,1875.79,11.71,,,,,,,,,,,
5/25/2022,74301.84,3341.43,3628.58,,2841.69,1853.8,652.37,,,,,,,,,,,
5/26/2022,138988.36,23374.28,1181.27,,2623.64,1794.65,324.45,,,,,,,,,,,
5/27/2022,363594.23,7234.35,806.86,,2600.12,1819.77,159.56,,,,,,,,,,,
5/28/2022,85587.06,18904.31,1368.7,,2264.38,1875.96,277.82,,,,,,,,,,,
5/29/2022,86619.27,13766.15,1604.17,,4017.46,1878.05,299.22,,,,,,,,,,,
5/30/2022,91691.72,21120.96,7634.81,,3774.47,1888.69,37.38,,,,,,,,,,,
5/31/2022,105294.25,6549.87,8594.55,,3673.48,1936.52,23.47,,,,,,,,,,,
6/1/2022,72443.12,20511.33,16457.06,,3461.76,1940.09,52.26,,,,,,,,,,,
6/2/2022,71888.67,381.21,125.63,,3578.28,1920.91,4.85,,,,,,,,,,,
6/3/2022,305323.23,24919.2,4314.44,,3472.27,1869.87,9.78,,,,,,,,,,,
6/4/2022,83977.02,307.58,881.61,,3314.99,1864.04,46.05,,,,,,,,,,,
6/5/2022,100928.22,24090.08,11752.01,,4625.32,1866.47,42.37,,,,,,,,,,,
6/6/2022,92382.42,3135.4,17578.01,,1662.96,1898.24,96.1,,,,,,,,,,,
6/7/2022,82956.79,27310.87,26195.34,,3162.43,1888.91,2588.22,,,,,,,,,,,
6/8/2022,149496.08,6143.31,2650.45,,3090.2,1869.78,238.9,,,,,,,,,,,
6/9/2022,67889.48,18046.67,1126.56,,3025.86,1868.81,44.56,,,,,,,,,,,
6/10/2022,128644.15,7024.17,1454.91,,2576,1809.34,119.46,,,,,,,,,,,
6/11/2022,803071.79,22542.73,4645.23,,2506.51,1744.05,238.41,,,,,,,,,,,
6/12/2022,279522.07,7553,1345.56,,2409.81,1667.44,853.43,,,,,,,,,,,
6/13/2022,4783894.52,17824.44,23039.42,,21452.18,1541.66,372.71,,,,,,,,,,,
6/14/2022,435449.18,5220.64,107174.95,,1553.83,1387.41,731.85,,,,,,,,,,,
6/15/2022,251605.66,18519.37,53647.61,,1891.23,1199.14,2115.99,,,,,,,,,,,
6/16/2022,65425.12,9824.26,29837.05,,1896.76,1069.91,123.75,,,,,,,,,,,
6/17/2022,68011.29,11257.34,15459.36,,5392.15,1032.15,0,,,,,,,,,,,
6/18/2022,816414.91,9166.72,90394.12,,27986.9,1040.09,3658.06,,,,,,,,,,,
6/19/2022,69485.74,14009.35,26239.36,,1276.8,1016.49,528.56,,,,,,,,,,,
6/20/2022,57190.27,7708.03,4087.28,,2545.99,1013.56,122.97,0.03,,,,,,,,,,
6/21/2022,61234.65,15253.12,18469,,2402.06,983.7,104.16,0.17,,,,,,,,,,
6/22/2022,72911.73,19632.58,10353.49,,2216.09,1000.06,964.95,5.7,,,,,,,,,,
6/23/2022,78445.52,14485.81,20753.6,,2083.97,1000.91,44.21,0,,,,,,,,,,
6/24/2022,68239.09,3261.65,3608.74,,2011.19,967.9,1.47,0,,,,,,,,,,
6/25/2022,34403.33,19768.24,2639.14,,4163.97,970.33,16.76,0,,,,,,,,,,
6/26/2022,74703.23,3422.14,3282.51,,913.37,988.9,34.57,0,,,,,,,,,,
6/27/2022,84446.08,14878.6,3796.78,,2582.01,1003.62,680.73,0,,,,,,,,,,
6/28/2022,32001.14,2046.83,495.2,,2437.63,1014.89,160.52,0,,,,,,,,,,
6/29/2022,114586.89,19355.5,5864.43,,2303.57,928.21,4.94,0,,,,,,,,,,
6/30/2022,112629.58,3806.45,3579.85,,2203.62,890.01,24.75,0,,,,,,,,,,
7/1/2022,75423.96,13303.49,3173.85,,2740.22,901.57,684.3,0,,,,,,,,,,
7/2/2022,52773.6,1970.18,3964.65,,3132,928.65,343.6,0,,,,,,,,,,
7/3/2022,75289.97,15526.39,39785.06,,1899.72,940.88,1.5,0,,,,,,,,,,
7/4/2022,56727.4,4298.28,8764.57,,2228.37,931.71,145.23,0,,,,,,,,,,
7/5/2022,68662.74,14705.37,5728.17,,2038.58,935.91,376.39,0.01,,,,,,,,,,
7/6/2022,505728.2,3965.68,4948.59,,2060.77,930.98,57.24,0,,,,,,,,,,
7/7/2022,53778.42,14788.81,5555.53,,1994.77,941.68,624.41,0,,,,,,,,,,
