Date,Helium ($),Worldcoin ($),The Graph ($),Pocket Network ($),Livepeer ($),Kleros ($)
1/12/2023,111006.3,,12445.63,34474.28,28295.03,346.42
1/13/2023,121864.26,,37795.21,33762.36,31485.43,573.86
1/14/2023,130291.2,,104959.51,33712.68,33325.98,47.76
1/15/2023,183001.51,,63251.72,31759.54,33971.22,47.63
1/16/2023,197475.99,,230748.29,32048.48,34261.23,0
1/17/2023,201087.15,,151207.05,28130.08,66577.97,0
1/18/2023,194739,,49637.2,26654.27,31544.63,347.1
1/19/2023,170587.29,,80032.74,30680.28,30735.07,30.16
1/20/2023,162377.23,,41282.75,30265.97,36551.03,0
1/21/2023,174106.55,,105835.73,31151.29,35248.01,0
1/22/2023,163063.46,,31925.41,37529.28,37033.72,0
1/23/2023,162706.84,,75205.66,36595.01,37573.77,378.52
1/24/2023,160750.84,,111059.52,35027.91,37141.57,0
1/25/2023,149494.2,,47861.84,35730.59,81103.78,0
1/26/2023,155162.72,,26003.28,38043.73,43969.23,0
1/27/2023,154780.91,,39748.01,42208.49,41026.84,0
1/28/2023,163308.92,,64698.97,47884.03,42058.21,0
1/29/2023,157296.65,,48405.51,45844.95,40717.51,201.87
1/30/2023,164120.5,,34089,42709.28,39499.19,0
1/31/2023,147376.93,,141006.26,44897.15,40707.44,0.22
2/1/2023,143718.81,,97182.95,49148.33,41360.07,125.3
2/2/2023,163283.75,,25983.07,43159.57,80417.82,0
2/3/2023,154156.44,,102436.22,44058.24,48671.79,1892.48
2/4/2023,155139.35,,46444.82,43085.55,45001.69,590.35
2/5/2023,134163.37,,64103.17,42722.24,49556.32,1864.68
2/6/2023,166721.21,,90327.54,42982.05,49357.99,322.22
2/7/2023,150490.65,,45486.65,43493.88,57774.78,985.91
2/8/2023,164481.77,,207837.11,43665.78,56994.49,0
2/9/2023,164557.57,,236589.74,43145.3,48963.77,44.14
2/10/2023,134796.58,,138512.98,40889.25,95780.52,709.86
2/11/2023,132086.53,,81018.96,50753.46,55519.77,0.45
2/12/2023,137405.36,,176053.61,59897.99,52133.81,892.76
2/13/2023,132498.98,,67372.64,63974.33,48909.83,0
2/14/2023,131647.77,,218577.31,51213.4,49119.03,1177.98
2/15/2023,134060.94,,200210.5,50506.92,55506.22,0
2/16/2023,142440.21,,129627.23,60541.14,50454.94,1868.37
2/17/2023,137991.87,,106535.6,64929.35,51964.51,33.2
2/18/2023,151225.03,,331884.54,56585.69,96184.7,0
2/19/2023,179439.49,,62818.3,54449.07,55636.18,0
2/20/2023,189118.01,,48103.34,54187.2,55074.49,0
2/21/2023,203886.32,,78173.48,48601.98,49577.27,0
2/22/2023,184898.39,,144751.28,49635.69,49003.36,0
2/23/2023,195363.59,,116225.22,43875.18,47954.28,0
2/24/2023,187989.62,,107621.65,42889.46,44410.66,0
2/25/2023,162899.25,,143091.94,42636.73,43814.79,137.41
2/26/2023,166578.8,,65335.41,47638.39,45420.7,0
2/27/2023,145636.21,,58367.41,44932.99,85280.99,0
2/28/2023,148472.86,,220781.67,42627,41719.45,0
3/1/2023,141046.27,,125510.21,40367.39,43074.16,3824.21
3/2/2023,150851.39,,182131.66,43184.81,41693.58,0
3/3/2023,143285.11,,159171.9,42069.8,37496.91,987.91
3/4/2023,133545.38,,28832.6,42548.28,35357.17,156.35
3/5/2023,128231.8,,115134.72,41141.55,34843.17,213.17
3/6/2023,131507.6,,87084.22,36160.87,36191.42,36.1
3/7/2023,128474.87,,104141.1,31374.13,35506.59,1105.48
3/8/2023,123722.36,,133290.09,29758.67,64430.5,782.27
3/9/2023,116219.15,,68017.56,28255.46,31389.7,0
3/10/2023,117754.75,,38682.53,24641.12,32611.06,0
3/11/2023,109966.69,,18286.23,29250.32,27766.6,0
3/12/2023,110618.65,,155007.81,27433.52,32109.63,0
3/13/2023,121192.79,,62803,31996.22,33496.26,296.33
3/14/2023,127587.42,,106111.46,34637.39,35839.83,0
3/15/2023,119726.88,,235696.96,32514.12,32981.95,0
3/16/2023,104721.91,,45462.06,32488.96,32997.02,518.57
3/17/2023,102231.48,,123878.92,35606.19,71759.66,672.7
3/18/2023,90623.5,,86007.7,36684.49,36376.99,320.04
3/19/2023,81546.59,,131262.15,37315.41,37647.63,270.62
3/20/2023,85989.47,,76402.62,35859.85,37467.98,255.76
3/21/2023,74214.91,,160595.72,33924.38,40938.26,0
3/22/2023,71747.32,,173993.89,28644.46,36452.62,4729.7
3/23/2023,64675.71,,90893.34,28947.31,41769.98,0
3/24/2023,67787.79,,81860.26,26216.82,40923.71,3.94
3/25/2023,73064.59,,63319.7,30100.12,80716.79,0
3/26/2023,77997.87,,43081.97,32673.31,43086.02,0.97
3/27/2023,77345.93,,81500.88,35153.41,40841.78,528.21
3/28/2023,70617.41,,129648.22,28069.76,40951.29,0
3/29/2023,72291.89,,392412.28,31594.19,42410.16,0
3/30/2023,77600.94,,85503.81,32310.8,39888.22,0
3/31/2023,86173.02,,331205.07,34864,43067.78,0
4/1/2023,89218.05,,42118.66,33830.11,44935.23,0
4/2/2023,79511.92,,131375.96,35206.51,42545.14,0
4/3/2023,69744.29,,140052.01,32697.43,85879.03,0
4/4/2023,69931.16,,104120.16,31749.18,43667.05,0
4/5/2023,73975.72,,101002.93,26128.42,45025.84,6562.96
4/6/2023,75209.31,,81144.36,24954.48,45585.86,28.52
4/7/2023,73955.19,,85421.77,23002.7,45335.02,237.69
4/8/2023,72402.01,,100117.47,22115.17,46161.63,12.65
4/9/2023,77306.61,,31413.54,21814.85,46929.87,362.28
4/10/2023,77067.37,,115600.73,21700.11,48076.37,0
4/11/2023,77386.5,,66495.6,24515.08,45019.58,1058.26
4/12/2023,78822.95,,223282.96,27734.63,83749.95,1094.77
4/13/2023,83984.87,,79194.05,28905.68,45027.67,0
4/14/2023,102130.39,,110566.26,29158.66,42791.99,713.8
4/15/2023,101821.61,,54404.96,26923.26,44499.43,22.08
4/16/2023,95909.23,,97048.13,25195.14,42995.8,0
4/17/2023,97915.38,,326371.83,24840.91,44774.98,1175.52
4/18/2023,0,,254231.45,25094.87,44552.67,0
4/19/2023,105009.91,,13601.95,27044.22,39552.84,0
4/20/2023,98003.89,,161597.05,23424.47,39387.23,0
