Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2017-11-19,,14042.00,,,,,,,,,,,,
2017-11-20,,14079.00,,,,,,,,,,,,
2017-11-21,,14159.00,,,,,,,,,,,,
2017-11-22,,14217.00,,,,,,,,,,,,
2017-11-23,,14295.00,,,,,,,,,,,,
2017-11-24,,14368.00,,,,,,,,,,,,
2017-11-25,,14418.00,,,,,,,,,,,,
2017-11-26,,14505.00,,,,,,,,,,,,
2017-11-27,,14563.00,,,,,,,,,,,,
2017-11-28,,14617.00,,,,,,,,,,,,
2017-11-29,,14652.00,,,,,,,,,,,,
2017-11-30,,14711.00,,,,,,,,,,,,
2017-12-01,,14764.00,,,,,,,,,,,,
2017-12-02,,14835.00,,,,,,,,,,,,
2017-12-03,,14676.00,,,,,,,,,,,,
2017-12-04,,14781.00,,,,,,,,,,,,
2017-12-05,,14842.00,,,,,,,,,,,,
2017-12-06,,14940.00,,,,,,,,,,,,
2017-12-07,,15063.00,,,,,,,,,,,,
2017-12-08,,13601.00,,,,,,,,,,,,
2017-12-09,,11560.00,,,,,,,,,,,,
2017-12-10,,11551.00,,,,,,,,,,,,
2017-12-11,,11595.00,,,,,,,,,,,,
2017-12-12,,11634.00,,,,,,,,,,,,
2017-12-13,,11697.00,,,,,,,,,,,,
2017-12-14,,11822.00,,,,,,,,,,,,
2017-12-15,,11906.00,,,,,,,,,,,,
2017-12-16,,12036.00,,,,,,,,,,,,
2017-12-17,,12132.00,,,,,,,,,,,,
2017-12-18,,12248.00,,,,,,,,,,,,
2017-12-19,,12338.00,,,,,,,,,,,,
2017-12-20,,12426.00,,,,,,,,,,,,
2017-12-21,,12579.00,,,,,,,,,,,,
2017-12-22,,12661.00,,,,,,,,,,,,
2017-12-23,,12838.00,,,,,,,,,,,,
2017-12-24,,12993.00,,,,,,,,,,,,
2017-12-25,,13092.00,,,,,,,,,,,,
2017-12-26,,13197.00,,,,,,,,,,,,
2017-12-27,,13313.00,,,,,,,,,,,,
2017-12-28,,13440.00,,,,,,,,,,,,
2017-12-29,,13538.00,,,,,,,,,,,,
2017-12-30,,13661.00,,,,,,,,,,,,
2017-12-31,,13790.00,,,,,,,,,,,,
2018-01-01,,13945.00,,,,,,,,,,,,
2018-01-02,,14131.00,,,,,,,,,,,,
2018-01-03,,14282.00,,,,,,,,,,,,
2018-01-04,,14576.00,,,,,,,,,,,,
2018-01-05,,14814.00,,,,,,,,,,,,
2018-01-06,,15097.00,,,,,,,,,,,,
2018-01-07,,15395.00,,,,,,,,,,,,
2018-01-08,,15686.00,,,,,,,,,,,,
2018-01-09,,15970.00,,,,,,,,,,,,
2018-01-10,,16149.00,,,,,,,,,,,,
2018-01-11,,16301.00,,,,,,,,,,,,
2018-01-12,,16410.00,,,,,,,,,,,,
2018-01-13,,16569.00,,,,,,,,,,,,
2018-01-14,,16752.00,,,,,,,,,,,,
2018-01-15,,16876.00,,,,,,,,,,,,
2018-01-16,,16977.00,,,,,,,,,,,,
2018-01-17,,17086.00,,,,,,,,,,,,
2018-01-18,,17172.00,,,,,,,,,,,,
2018-01-19,,17277.00,,,,,,,,,,,,
2018-01-20,,17439.00,,,,,,,,,,,,
2018-01-21,,17572.00,,,,,,,,,,,,
2018-01-22,,17665.00,,,,,,,,,,,,
2018-01-23,,17652.00,,,,,,,,,,,,
2018-01-24,,17720.00,,,,,,,,,,,,
