Date,Aave ($),Compound ($),BENQI ($),Venus ($),Radiant Capital ($),TrueFi ($),Maple Finance ($),Notional Finance ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Silo Finance ($),Morpho ($),Shoebill Finance ($)
2020-08-16,,448360.32,,,,,,,,,,,,,
2020-08-17,,431665.35,,,,,,,,,,,,,
2020-08-18,,210231.75,,,,,,,,,,,,,
2020-08-19,,528152.72,,,,,,,,,,,,,
2020-08-20,,1011730.04,,,,,,,,,,,,,
2020-08-21,,423820.55,,,,,,,,,,,,,
2020-08-22,,273558.03,,,,,,,,,,,,,
2020-08-23,,250918.95,,,,,,,,,,,,,
2020-08-24,,318117.58,,,,,,,,,,,,,
2020-08-25,,307149.88,,,,,,,,,,,,,
2020-08-26,,311502.84,,,,,,,,,,,,,
2020-08-27,,217245.20,,,,,,,,,,,,,
2020-08-28,,1906257.38,,,,,,,,,,,,,
2020-08-29,,411857.37,,,,,,,,,,,,,
2020-08-30,,428360.81,,,,,,,,,,,,,
2020-08-31,,507380.69,,,,,,,,,,,,,
2020-09-01,,667242.23,,,,,,,,,,,,,
2020-09-02,,224608.96,,,,,,,,,,,,,
2020-09-03,,502006.75,,,,,,,,,,,,,
2020-09-04,,1196476.16,,,,,,,,,,,,,
2020-09-05,,162790.55,,,,,,,,,,,,,
2020-09-06,,381235.20,,,,,,,,,,,,,
2020-09-07,,714599.31,,,,,,,,,,,,,
2020-09-08,,236260.43,,,,,,,,,,,,,
2020-09-09,,521715.40,,,,,,,,,,,,,
2020-09-10,,200300.97,,,,,,,,,,,,,
2020-09-11,,216119.37,,,,,,,,,,,,,
2020-09-12,,169776.19,,,,,,,,,,,,,
2020-09-13,,151446.02,,,,,,,,,,,,,
2020-09-14,,225548.78,,,,,,,,,,,,,
2020-09-15,,207725.15,,,,,,,,,,,,,
2020-09-16,,184158.81,,,,,,,,,,,,,
2020-09-17,,1214854.31,,,,,,,,,,,,,
2020-09-18,,377827.22,,,,,,,,,,,,,
2020-09-19,,127722.71,,,,,,,,,,,,,
2020-09-20,,228311.15,,,,,,,,,,,,,
2020-09-21,,257306.33,,,,,,,,,,,,,
2020-09-22,,232714.01,,,,,,,,,,,,,
2020-09-23,,732661.12,,,,,,,,,,,,,
2020-09-24,,250932.91,,,,,,,,,,,,,
2020-09-25,,238887.41,,,,,,,,,,,,,
2020-09-26,,161207.81,,,,,,,,,,,,,
2020-09-27,,537530.53,,,,,,,,,,,,,
2020-09-28,,370752.45,,,,,,,,,,,,,
2020-09-29,,159889.20,,,,,,,,,,,,,
2020-09-30,,167955.10,,,,,,,,,,,,,
2020-10-01,,405336.38,,,,,,,,,,,,,
2020-10-02,,243245.10,,,,,,,,,,,,,
2020-10-03,,101054.37,,,,,,,,,,,,,
2020-10-04,,136935.54,,,,,,,,,,,,,
2020-10-05,,175366.71,,,,,,,,,,,,,
2020-10-06,,711875.94,,,,,,,,,,,,,
2020-10-07,,152455.59,,,,,,,,,,,,,
2020-10-08,,123201.20,,,,,,,,,,,,,
2020-10-09,,261640.56,,,,,,,,,,,,,
2020-10-10,,111731.98,,,,,,,,,,,,,
2020-10-11,,117282.67,,,,,,,,,,,,,
2020-10-12,,712509.58,,,,,,,,,,,,,
2020-10-13,,169419.31,,,,,,,,,,,,,
2020-10-14,,182299.52,,,,,,,,,,,,,
2020-10-15,,96202.88,,,,,,,,,,,,,
2020-10-16,,178052.66,,,,,,,,,,,,,
2020-10-17,,138378.57,,,,,,,,,,,,,
2020-10-18,,542329.85,,,,,,,,,,,,,
2020-10-19,,254314.68,,,,,,,,,,,,,
2020-10-20,,102766.22,,,,,,,,,,,,,
2020-10-21,,334593.01,,,,,,,,,,,,,
2020-10-22,,212981.00,,,,,,,,,,,,,
2020-10-23,,281990.32,,,,,,,,,,,,,
2020-10-24,,236792.79,,,,,,,,,,,,,
2020-10-25,,104834.90,,,,,,,,,,,,,
2020-10-26,,224396.14,,,,,,,,,,,,,
2020-10-27,,177548.16,,,,,,,,,,,,,
2020-10-28,,155671.32,,,,,,,,,,,,,
2020-10-29,,165132.62,,,,,,,,,,,,,
2020-10-30,,496780.68,,,,,,,,,,,,,
2020-10-31,,111723.02,,,,,,,,,,,,,
2020-11-01,,141436.76,,,,,,,,,,,,,
2020-11-02,,171681.56,,,,,,,,,,,,,
2020-11-03,,151703.29,,,,,,,,,,,,,
2020-11-04,,207173.27,,,,,,,,,,,,,
2020-11-05,,149520.96,,,,,,,,,,,,,
2020-11-06,,568431.93,,,,,,,,,,,,,
2020-11-07,,143563.68,,,,,,,,,,,,,
2020-11-08,,223549.65,,,,,,,,,,,,,
2020-11-09,,297950.92,,,,,,,,,,,,,
2020-11-10,,293224.61,,,,,,,,,,,,,
2020-11-11,,237247.25,,,,,,,,,,,,,
2020-11-12,,160454.75,,,,,,,,,,,,,
2020-11-13,,333928.50,,,,,,,,,,,,,
2020-11-14,,129993.53,,,,,,,,,,,,,
2020-11-15,,234347.33,,,,,,,,,,,,,
2020-11-16,,184505.93,,,,,,,,,,,,,
2020-11-17,,267907.04,,,,,,,,,,,,,
2020-11-18,,248655.59,,,,,,,,,,,,,
2020-11-19,,484487.84,,,,,,,,,,,,,
2020-11-20,,132734.65,,,,,,,,,,,,,
2020-11-21,,133530.69,,,,,,,,,,,,,
2020-11-22,,179920.99,,,,,,,,,,,,,
2020-11-23,,563848.77,,,,,,,,,,,,,
2020-11-24,,349736.65,,,,,,,,,,,,,
2020-11-25,,115693.30,,,,,,,,,,,,,
2020-11-26,,454147.75,,,,,,,,,,,,,
2020-11-27,,321361.89,,,,,,,,,,,,,
2020-11-28,,65502.18,,,,,,,,,,,,,
2020-11-29,,196997.73,,,,,,,,,,,,,
2020-11-30,,432408.50,,,,,,,,,,,,,
2020-12-01,,229293.24,,,,,,,,,,,,,
2020-12-02,,260975.20,,,,,,,,,,,,,
2020-12-03,,424855.44,,,,,,,,,,,,,
2020-12-04,,336678.88,,,,,,,,,,,,,
2020-12-05,,159898.71,,,,,,,,,,,,,
2020-12-06,,337074.78,,,,,,,,,,,,,
2020-12-07,,387938.04,,,,,,,,,,,,,
2020-12-08,,161436.71,,,,,,,,,,,,,
2020-12-09,,697211.04,,,,,,,,,,,,,
2020-12-10,,194894.01,,,,,,,,,,,,,
2020-12-11,,205821.56,,,,,,,,,,,,,
2020-12-12,,418773.60,,,,,,,,,,,,,
2020-12-13,,213135.72,,,,,,,,,,,,,
2020-12-14,,281524.93,,,,,,,,,,,,,
2020-12-15,,229252.22,,,,,,,,,,,,,
2020-12-16,,482459.34,,,,,,,,,,,,,
2020-12-17,,404611.17,,,,,,,,,,,,,
2020-12-18,,254495.27,,,,,,,,,,,,,
2020-12-19,,349920.42,,,,,,,,,,,,,
2020-12-20,,155904.91,,,,,,,,,,,,,
2020-12-21,,556985.14,,,,,,,,,,,,,
2020-12-22,,414578.08,,,,,,,,,,,,,
2020-12-23,,300089.56,,,,,,,,,,,,,
2020-12-24,,80479.35,,,,,,,,,,,,,
2020-12-25,,267042.06,,,,,,,,,,,,,
2020-12-26,,255293.92,,,,,,,,,,,,,
2020-12-27,,562010.04,,,,,,,,,,,,,
2020-12-28,,210175.94,,,,,,,,,,,,,
2020-12-29,,264176.29,,,,,,,,,,,,,
2020-12-30,,667031.83,,,,,,,,,,,,,
2020-12-31,,249156.21,,,,,,,,,,,,,
2021-01-01,,282112.60,,,,,,,,,,,,,
2021-01-02,,415985.74,,,,,,,,,,,,,
2021-01-03,,350262.69,,,,,,,,,,,,,
2021-01-04,,321338.41,,,,,,,,,,,,,
2021-01-05,,144601.18,,,,,,,,,,,,,
2021-01-06,,528772.18,,,,,,,,,,,,,
2021-01-07,,224369.93,,,,,,,,,,,,,
2021-01-08,,412467.54,,,,,,,,,,,,,
2021-01-09,,463626.27,,,,,,,,,,,,,
2021-01-10,,345953.48,,,,,,,,,,,,,
2021-01-11,,426183.60,,,,,,,,,,,,,
2021-01-12,,413015.44,,,,,,,,,,,,,
2021-01-13,,950242.45,,,,,,,,,,,,,
2021-01-14,,307783.42,,,,,,,,,,,,,
2021-01-15,,529571.52,,,,,,,,,,,,,
2021-01-16,,309212.04,,,,,,,,,,,,,
2021-01-17,,173350.87,,,,,,,,,,,,,
2021-01-18,,522626.64,,,,,,,,,,,,,
2021-01-19,,581053.04,,,,,,,,,,,,,
2021-01-20,,304985.56,,,,,,,,,,,,,
2021-01-21,,233331.26,,,,,,,,,,,,,
2021-01-22,,475805.45,,,,,,,,,,,,,
2021-01-23,,253218.50,,,,,,,,,,,,,
2021-01-24,,1107608.15,,,,,,,,,,,,,
2021-01-25,,368057.64,,,,,,,,,,,,,
2021-01-26,,562705.99,,,,,,,,,,,,,
2021-01-27,,707452.08,,,,,,,,,,,,,
2021-01-28,,447845.11,,,,,,,,,,,,,
2021-01-29,,478726.22,,,,,,,,,,,,,
2021-01-30,,635875.18,,,,,,,,,,,,,
2021-01-31,,486503.61,,,,,,,,,,,,,
2021-02-01,,1371287.86,,,,,,,,,,,,,
2021-02-02,,741803.80,,,,,,,,,,,,,
2021-02-03,,1704282.83,,,,,,,,,,,,,
2021-02-04,,1676603.28,,,,,,,,,,,,,
2021-02-05,,856878.67,,,,,,,,,,,,,
2021-02-06,,817144.25,,,,,,,,,,,,,
2021-02-07,,1106217.14,,,,,,,,,,,,,
2021-02-08,,1167572.05,,,,,,,,,,,,,
2021-02-09,,983650.38,,,,,,,,,,,,,
2021-02-10,,536115.85,,,,,,,,,,,,,
2021-02-11,,1241855.91,,,,,,,,,,,,,
2021-02-12,,1411861.06,,,,,,,,,,,,,
2021-02-13,,544587.43,,,,,,,,,,,,,
2021-02-14,,1347433.52,,,,,,,,,,,,,
2021-02-15,,754678.65,,,,,,,,,,,,,
2021-02-16,,970592.48,,,,,,,,,,,,,
2021-02-17,,774599.83,,,,,,,,,,,,,
2021-02-18,,560347.88,,,,,,,,,,,,,
2021-02-19,,764585.52,,,,13288.88,,,,,,,,,
2021-02-20,,2067585.54,,,,39484.07,,,,,,,,,
2021-02-21,,562007.62,,,,42629.95,,,,,,,,,
2021-02-22,,641125.28,,,,37444.36,,,,,,,,,
2021-02-23,,1504974.91,,,,33567.75,,,,,,,,,
2021-02-24,,689520.43,,,,32548.33,,,,,,,,,
2021-02-25,,1545733.69,,,,29785.11,,,,,,,,,
2021-02-26,,414505.20,,,,28720.90,,,,,,,,,
2021-02-27,,907294.58,,,,29070.03,,,,,,,,,
2021-02-28,,806314.38,,,,27216.26,,,,,,,,,
2021-03-01,,1994619.42,,,,34541.71,,,,,,,,,
2021-03-02,,765464.50,,,,30685.50,,,,,,,,,
2021-03-03,,877274.83,,,,35030.44,,,,,,,,,
2021-03-04,,1680960.09,,,,29273.14,,,,,,,,,
2021-03-05,,504646.38,,,,36664.15,,,,,,,,,
2021-03-06,,1009088.46,,,,31559.34,,,,,,,,,
2021-03-07,,644169.62,,,,40133.72,,,,,,,,,
2021-03-08,,1010399.78,,,,37243.71,,,,,,,,,
2021-03-09,,1319563.24,,,,35443.62,,,,,,,,,
2021-03-10,,457433.62,,,,38593.71,,,,,,,,,
2021-03-11,,1974475.09,,,,36212.52,,,,,,,,,
2021-03-12,,525451.48,,,,39928.99,,,,,,,,,
2021-03-13,,657677.01,,,,45679.58,,,,,,,,,
2021-03-14,,478214.73,,,,41810.47,,,,,,,,,
2021-03-15,,547657.34,,,,39609.17,,,,,,,,,
2021-03-16,,943842.15,,,,45741.03,,,,,,,,,
2021-03-17,,632521.25,,,,42419.49,,,,,,,,,
2021-03-18,,2508800.41,,,,42296.37,,,,,,,,,
