Date,Compound ($),Aave ($),Maple Finance ($),Venus ($),Euler ($),Goldfinch ($),Notional Finance ($),Homora ($),Centrifuge ($),TrueFi ($),dForce ($),Radiant Capital ($),Silo Finance ($),Sonne Finance ($),BENQI ($),Scallop ($),Mendi Finance ($),NAVI Protocol ($),BendDAO ($),Gearbox ($)
2022-05-21,68.17,91.41,24.13,4.80,,1.50,0.60,0.15,0.27,0.10,0.04,,0.17,,0.01,,,,0.03,
2022-05-22,70.83,94.58,24.20,4.95,,1.66,0.53,0.16,0.26,0.10,0.04,,0.18,,0.01,,,,0.03,
2022-05-23,69.10,99.47,23.53,4.64,,1.66,0.57,0.17,0.26,0.10,0.04,,0.20,,0.02,,,,0.03,
2022-05-24,70.09,106.71,23.24,4.70,,1.64,0.55,0.15,0.26,0.10,0.04,,0.20,,0.01,,,,0.03,
2022-05-25,65.97,102.19,22.89,4.59,,1.71,0.50,0.17,0.24,0.10,0.04,,0.20,,0.01,,,,0.03,
2022-05-26,59.03,101.30,22.90,4.40,,1.82,0.49,0.16,0.23,0.09,0.04,,0.19,,0.02,,,,0.03,
2022-05-27,55.60,92.18,21.62,4.20,,1.74,0.47,0.15,0.23,0.09,0.04,,0.19,,0.01,,,,0.02,
2022-05-28,56.93,95.26,21.72,4.41,,1.65,0.47,0.14,0.36,0.08,0.03,,0.19,,0.01,,,,0.02,
2022-05-29,57.17,95.14,21.40,4.64,,1.68,0.46,0.14,0.30,0.09,0.03,,0.16,,0.01,,,,0.02,
2022-05-30,63.01,117.61,21.65,4.98,,1.67,0.47,0.14,0.28,0.10,0.04,,0.17,,0.01,,,,0.03,
2022-05-31,63.49,113.58,23.57,5.01,,1.66,0.52,0.16,0.28,0.10,0.04,,0.17,,0.02,,,,0.02,
2022-06-01,56.49,106.13,27.03,4.65,,1.65,0.50,0.17,0.28,0.10,0.04,,0.18,,0.02,,,,0.02,
2022-06-02,58.56,110.90,27.22,4.90,,1.52,0.52,0.15,0.31,0.09,0.04,,0.18,,0.01,,,,0.02,
2022-06-03,56.27,107.34,29.42,4.57,,1.64,0.52,0.15,0.32,0.09,0.04,,0.16,,0.01,,,,0.02,
2022-06-04,57.68,106.97,29.32,4.70,,1.65,0.50,0.15,0.32,0.09,0.04,,0.15,,0.01,,,,0.02,
2022-06-05,58.10,104.20,28.91,4.52,,1.68,0.48,0.15,0.31,0.09,0.04,,0.11,,0.01,,,,0.02,
2022-06-06,59.10,105.57,28.17,4.57,,1.67,0.45,0.15,0.30,0.09,0.04,,0.11,,0.01,,,,0.02,
2022-06-07,57.44,99.97,28.05,5.80,,1.68,0.50,0.15,0.31,0.09,0.04,,0.10,,0.01,,,,0.02,
2022-06-08,55.87,97.08,28.50,4.91,,1.64,0.48,0.16,0.29,0.10,0.04,,0.10,,0.01,,,,0.01,
2022-06-09,55.28,95.79,28.27,5.00,,1.78,0.47,0.17,0.28,0.09,0.04,,0.10,,0.01,,,,0.01,
2022-06-10,51.19,87.54,29.23,4.67,,1.85,0.46,0.16,0.28,0.09,0.04,,0.09,,0.01,,,,0.01,
2022-06-11,45.31,76.79,27.80,4.46,,1.59,0.45,0.15,0.26,0.08,0.04,,0.09,,0.01,,,,0.01,
2022-06-12,41.18,70.15,27.26,4.29,,1.48,0.42,0.13,0.26,0.08,0.04,,0.08,,0.01,,,,0.01,
2022-06-13,35.54,59.22,23.61,3.88,,1.48,0.36,0.12,0.25,0.07,0.04,,0.07,,0.02,,,,0.01,
2022-06-14,34.98,62.35,19.28,4.19,,1.24,0.28,0.11,0.25,0.06,0.03,,0.06,,0.01,,,,0.01,
2022-06-15,35.60,66.69,19.04,4.49,,1.26,0.29,0.11,0.24,0.06,0.03,,0.06,,0.01,,,,0.01,
2022-06-16,30.19,56.18,16.28,4.05,,1.30,0.29,0.12,0.23,0.06,0.04,,0.06,,0.01,,,,0.01,
2022-06-17,32.36,57.54,16.33,4.16,,1.22,0.27,0.10,0.22,0.06,0.03,,0.06,,0.01,,,,0.01,
2022-06-18,28.85,49.41,16.21,4.06,,1.21,0.26,0.11,0.22,0.06,0.03,,0.06,,0.01,,,,0.01,
2022-06-19,31.81,54.27,15.04,4.30,,1.06,0.24,0.10,0.20,0.05,0.03,,0.07,,0.01,,,,0.01,
2022-06-20,34.84,61.77,15.72,5.08,,1.23,0.27,0.11,0.21,0.06,0.03,,0.07,,0.01,,,,0.01,
2022-06-21,39.30,66.25,16.29,4.79,,1.26,0.26,0.12,0.21,0.06,0.03,,0.07,,0.01,,,,0.01,
2022-06-22,39.65,62.35,15.66,4.86,,1.29,0.27,0.12,0.22,0.06,0.03,,0.05,,0.01,,,,0.01,
2022-06-23,43.18,68.03,15.33,5.04,,1.25,0.25,0.11,0.22,0.05,0.03,,0.06,,0.01,,,,0.01,
2022-06-24,46.41,71.10,14.23,5.18,4.11,1.24,0.28,0.12,0.22,0.06,0.04,,0.06,,0.01,,,,0.01,
2022-06-25,54.91,70.17,14.49,5.00,4.11,1.26,0.31,0.13,0.22,0.06,0.04,,0.06,,0.01,,,,0.01,
2022-06-26,50.58,65.54,14.51,4.81,3.72,1.28,0.29,0.13,0.22,0.08,0.04,,0.06,,0.01,,,,0.01,
2022-06-27,49.33,65.51,14.42,4.91,3.56,1.28,0.29,0.12,0.24,0.07,0.04,,0.06,,0.01,,,,0.01,
2022-06-28,46.38,59.96,14.34,4.69,3.48,1.21,0.29,0.12,0.22,0.07,0.04,,0.05,,0.02,,,,0.01,
2022-06-29,49.27,59.48,12.34,4.73,3.57,1.17,0.28,0.12,0.29,0.06,0.04,,0.05,,0.01,,,,0.01,
2022-06-30,47.08,57.04,10.67,4.83,2.89,1.15,0.27,0.11,0.23,0.06,0.04,,0.04,,0.01,,,,0.01,
2022-07-01,47.40,56.19,8.63,4.67,3.28,1.09,0.26,0.11,0.22,0.06,0.04,,0.04,,0.01,,,,0.01,
2022-07-02,47.22,57.80,8.98,4.61,4.06,1.16,0.27,0.11,0.23,0.06,0.04,,0.04,,0.01,,,,0.01,
2022-07-03,49.33,57.68,8.51,4.72,3.80,1.11,0.28,0.11,0.24,0.07,0.04,,0.04,,0.01,,,,0.01,
2022-07-04,49.19,62.96,8.49,5.02,3.65,1.11,0.29,0.11,0.25,0.07,0.04,,0.04,,0.01,,,,0.01,
2022-07-05,46.03,60.72,8.55,4.92,3.93,1.15,0.30,0.12,0.26,0.07,0.04,,0.04,,0.01,,,,0.01,
2022-07-06,46.33,63.13,8.95,5.04,3.64,1.08,0.30,0.11,0.27,0.06,0.04,,0.05,,0.01,,,,0.01,
2022-07-07,48.32,71.19,8.64,5.23,3.81,1.11,0.29,0.12,0.28,0.07,0.04,,0.04,,0.02,,,,0.01,
2022-07-08,46.75,71.71,8.51,5.17,3.76,1.17,0.31,0.12,0.30,0.07,0.04,,0.04,,0.02,,,,0.01,
2022-07-09,55.11,81.88,8.95,5.24,3.71,1.13,0.30,0.12,0.31,0.08,0.04,,0.04,,0.02,,,,0.01,
2022-07-10,53.29,77.58,10.16,5.10,3.57,1.14,0.31,0.13,0.32,0.08,0.04,,0.04,,0.02,,,,0.00,
2022-07-11,48.88,69.93,9.73,4.81,3.24,1.11,0.30,0.12,0.30,0.08,0.04,,0.04,,0.02,,,,0.00,
2022-07-12,46.10,68.44,10.26,4.66,3.24,1.09,0.27,0.11,0.30,0.07,0.04,,0.04,,0.01,,,,0.00,
2022-07-13,49.25,79.80,9.44,5.08,3.22,1.11,0.25,0.10,0.27,0.07,0.04,,0.04,,0.01,,,,0.00,
2022-07-14,54.99,91.42,9.97,5.19,3.45,1.13,0.28,0.11,0.27,0.08,0.04,,0.04,,0.01,,,,0.00,
2022-07-15,55.20,90.31,10.98,5.16,3.62,1.13,0.28,0.12,0.27,0.09,0.04,,0.04,,0.02,,,,0.00,
2022-07-16,55.71,92.82,13.56,5.18,3.79,1.11,0.30,0.12,0.28,0.09,0.04,,0.05,,0.02,,,,0.01,
2022-07-17,54.84,88.41,13.41,5.15,3.94,1.08,0.46,0.13,0.29,0.09,0.04,,0.05,,0.02,,,,0.01,
2022-07-18,57.83,96.92,13.43,5.46,3.58,1.11,0.42,0.13,0.28,0.08,0.04,,0.04,,0.02,,,,0.01,
2022-07-19,61.04,95.33,14.41,5.52,3.63,1.14,0.31,0.14,0.29,0.09,0.05,,0.04,,0.02,,,,0.01,
2022-07-20,56.17,90.89,14.55,5.38,3.56,1.22,0.47,0.14,0.30,0.09,0.04,,0.04,,0.02,,,,0.01,
2022-07-21,57.79,95.38,13.64,5.50,3.25,1.16,0.42,0.13,0.31,0.08,0.04,,0.04,,0.02,,,,0.01,
2022-07-22,55.92,89.80,14.24,5.36,3.87,1.17,0.41,0.14,0.31,0.09,0.04,,0.04,,0.02,,,,0.01,
2022-07-23,55.80,89.45,14.28,5.41,3.85,1.17,0.40,0.13,0.30,0.08,0.05,,0.04,,0.02,,,,0.01,
2022-07-24,54.93,90.71,14.19,5.35,3.72,1.16,0.41,0.13,0.30,0.08,0.04,0.12,0.04,,0.02,,,,0.01,
2022-07-25,49.94,81.39,14.55,5.08,3.65,1.15,0.43,0.13,0.30,0.08,0.04,0.20,0.04,,0.02,,,,0.00,
2022-07-26,49.58,81.58,14.66,4.99,3.43,1.13,0.34,0.12,0.28,0.08,0.04,0.16,0.05,,0.02,,,,0.01,
2022-07-27,55.18,94.93,12.84,5.30,3.08,1.06,0.32,0.12,0.27,0.07,0.04,0.10,0.05,,0.01,,,,0.00,
2022-07-28,57.86,100.26,13.36,5.57,3.38,1.13,0.37,0.13,0.28,0.08,0.04,0.06,0.07,,0.02,,,,0.01,
2022-07-29,57.37,95.73,14.56,7.60,3.60,1.16,0.38,0.14,0.29,0.08,0.04,0.07,0.04,,0.02,,,,0.01,
2022-07-30,57.86,95.05,16.38,6.77,3.95,1.23,0.37,0.17,0.31,0.09,0.05,0.05,0.04,,0.02,,,,0.01,
2022-07-31,57.22,97.91,15.95,6.39,3.80,1.18,0.38,0.16,0.30,0.09,0.04,0.05,0.04,,0.02,,,,0.01,
2022-08-01,58.48,96.29,15.84,6.52,3.51,1.17,0.39,0.15,0.30,0.09,0.04,0.05,0.05,,0.02,,,,0.01,
2022-08-02,56.59,93.84,15.69,6.59,3.55,1.21,0.37,0.16,0.30,0.09,0.04,0.08,0.04,,0.02,,,,0.01,
2022-08-03,56.55,95.40,15.54,6.42,3.89,1.19,0.38,0.16,0.29,0.09,0.04,0.09,0.04,,0.02,,,,0.01,
2022-08-04,56.76,96.09,15.53,6.43,6.16,1.23,0.38,0.16,0.31,0.09,0.04,0.08,0.04,,0.02,,,,0.01,
2022-08-05,61.46,103.46,15.31,6.64,6.01,1.20,0.39,0.17,0.30,0.08,0.04,0.09,0.04,,0.02,,,,0.01,
2022-08-06,64.70,99.00,15.38,6.63,5.88,1.20,0.42,0.17,0.31,0.09,0.05,0.13,0.05,,0.02,,,,0.01,
2022-08-07,62.90,101.15,15.79,6.85,5.88,1.18,0.41,0.18,0.31,0.09,0.05,0.20,0.05,,0.02,,,,0.01,
2022-08-08,62.93,102.86,16.03,6.91,5.94,1.20,0.41,0.17,0.30,0.09,0.05,0.15,0.05,,0.02,,,,0.01,
2022-08-09,59.26,98.16,16.23,6.50,5.84,1.25,0.42,0.17,0.31,0.09,0.05,0.15,0.06,,0.02,,,,0.01,
2022-08-10,66.00,110.55,16.60,6.70,5.99,1.20,0.36,0.16,0.30,0.08,0.04,0.19,0.08,,0.02,,,,0.01,
2022-08-11,63.43,107.67,17.63,6.59,6.38,1.21,0.40,0.17,0.32,0.09,0.05,0.18,0.08,,0.02,,,,0.01,
2022-08-12,65.59,115.13,18.29,6.65,6.52,1.21,0.41,0.16,0.36,0.09,0.05,0.22,0.08,,0.02,,,,0.01,
2022-08-13,65.54,110.18,22.26,6.64,6.74,1.20,0.41,0.16,0.37,0.10,0.05,0.16,0.06,,0.02,,,,0.01,
2022-08-14,63.04,107.59,20.92,6.41,6.40,1.19,0.42,0.16,0.39,0.09,0.05,0.14,0.07,,0.02,,,,0.01,
2022-08-15,61.42,106.57,20.64,6.31,6.45,1.16,0.40,0.15,0.38,0.09,0.04,0.12,0.06,,0.02,,,,0.01,
2022-08-16,61.07,109.61,19.67,5.94,6.50,1.11,0.41,0.16,0.37,0.08,0.04,0.14,0.06,,0.02,,,,0.01,
2022-08-17,58.51,100.24,18.40,5.97,6.98,1.12,0.39,0.15,0.36,0.08,0.04,0.13,0.06,,0.02,,,,0.01,
2022-08-18,56.21,95.41,18.89,6.30,6.50,1.13,0.34,0.14,0.35,0.07,0.04,0.13,0.07,,0.02,,,,0.01,
2022-08-19,49.78,83.55,18.62,5.81,6.98,1.10,0.35,0.14,0.36,0.07,0.04,0.10,0.06,,0.02,,,,0.01,
2022-08-20,49.41,82.66,16.90,5.89,6.44,1.05,0.27,0.12,0.36,0.06,0.03,0.09,0.06,,0.01,,,,0.01,
2022-08-21,50.90,86.11,16.47,5.92,6.04,1.05,0.26,0.12,0.38,0.06,0.04,0.09,0.06,,0.01,,,,0.01,
2022-08-22,51.11,88.90,16.62,5.63,6.22,1.04,0.28,0.13,0.39,0.07,0.04,0.09,0.07,,0.01,,,,0.01,
2022-08-23,51.01,89.70,17.07,5.73,6.21,1.05,0.27,0.13,0.40,0.06,0.04,0.10,0.06,,0.01,,,,0.01,
2022-08-24,50.57,88.86,17.52,5.74,6.39,1.07,0.28,0.13,0.40,0.07,0.04,0.12,0.07,,0.01,,,,0.01,
2022-08-25,51.84,93.52,18.04,5.65,7.17,1.04,0.27,0.13,0.45,0.07,0.04,0.10,0.06,,0.01,,,,0.01,
2022-08-26,46.13,82.33,18.31,5.13,7.83,1.04,0.27,0.13,0.44,0.07,0.04,0.08,0.06,,0.01,,,,0.01,
2022-08-27,46.39,82.24,18.66,4.87,7.54,1.04,0.25,0.12,0.40,0.06,0.04,0.08,0.06,,0.01,,,,0.01,
2022-08-28,43.72,78.41,18.44,4.81,7.18,1.00,0.24,0.12,0.38,0.06,0.04,0.08,0.06,,0.01,,,,0.01,
2022-08-29,49.59,85.78,17.11,5.11,8.10,0.95,0.24,0.12,0.36,0.06,0.04,0.09,0.06,,0.01,,,,0.01,
2022-08-30,47.42,84.59,17.87,4.88,6.84,0.98,0.25,0.13,0.38,0.07,0.04,0.08,0.06,,0.01,,,,0.01,
2022-08-31,46.68,85.18,18.39,4.87,7.14,0.93,0.24,0.12,0.36,0.06,0.04,0.08,0.06,,0.01,,,,0.01,
2022-09-01,48.19,86.42,18.57,4.90,7.82,0.89,0.25,0.12,0.36,0.06,0.03,0.07,0.06,,0.01,,,,0.01,
2022-09-02,46.05,88.23,18.24,4.85,8.31,0.88,0.28,0.12,0.35,0.06,0.04,0.07,0.07,,0.01,,,,0.01,
2022-09-03,47.94,87.24,17.98,4.84,7.49,0.89,0.26,0.12,0.35,0.06,0.04,0.07,0.06,,0.01,,,,0.01,
2022-09-04,48.41,88.88,18.55,4.91,7.81,0.86,0.26,0.12,0.33,0.06,0.04,0.07,0.06,,0.01,,,,0.01,
2022-09-05,49.03,91.38,19.11,4.92,9.03,0.85,0.26,0.12,0.34,0.06,0.04,0.06,0.06,,0.01,,,,0.01,
2022-09-06,44.66,83.62,19.56,4.52,8.76,0.86,0.26,0.12,0.33,0.07,0.04,0.05,0.05,,0.01,,,,0.01,
2022-09-07,48.62,87.34,18.82,4.82,8.50,0.79,0.24,0.11,0.33,0.06,0.03,0.05,0.05,,0.01,,,,0.01,
2022-09-08,48.62,88.10,20.21,4.79,9.66,0.81,0.28,0.12,0.34,0.06,0.03,0.05,0.05,,0.01,,,,0.01,
2022-09-09,52.40,90.90,22.63,5.01,10.21,0.83,0.30,0.12,0.34,0.06,0.03,0.07,0.06,,0.01,,,,0.01,
2022-09-10,54.45,93.02,23.09,5.11,10.37,0.87,0.32,0.13,0.34,0.07,0.04,0.05,0.06,,0.01,,,,0.01,
2022-09-11,56.04,91.85,23.48,5.11,12.34,0.89,0.35,0.13,0.35,0.07,0.04,0.05,0.06,,0.01,,,,0.01,
2022-09-12,54.67,90.77,22.95,4.96,11.97,0.88,0.34,0.13,0.34,0.07,0.04,0.05,0.05,,0.01,,,,0.01,
2022-09-13,54.42,82.96,22.82,4.67,10.38,0.83,0.33,0.13,0.34,0.06,0.04,0.05,0.05,,0.01,,,,0.01,
2022-09-14,60.17,83.44,21.31,4.66,9.53,0.79,0.30,0.12,0.34,0.06,0.03,0.05,0.05,,0.01,,,,0.01,
2022-09-15,56.72,78.30,21.79,4.47,9.68,0.76,0.31,0.12,0.35,0.06,0.03,0.04,0.05,,0.01,,,,0.01,
2022-09-16,54.13,79.17,21.57,4.36,8.85,0.74,0.29,0.11,0.37,0.06,0.03,0.05,0.05,,0.01,,,,0.01,
2022-09-17,54.66,81.55,20.84,4.54,8.27,0.71,0.29,0.11,0.36,0.06,0.03,0.05,0.05,,0.01,,,,0.01,
2022-09-18,49.36,73.30,21.78,4.62,9.25,1.17,0.30,0.12,0.35,0.06,0.04,0.05,0.04,,0.01,,,,0.01,
2022-09-19,52.04,76.25,20.48,4.59,9.71,1.01,0.28,0.11,0.34,0.06,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-20,54.65,74.08,20.00,4.51,8.49,0.87,0.28,0.11,0.34,0.06,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-21,56.92,71.86,19.02,4.41,7.80,0.96,0.29,0.11,0.32,0.05,0.03,0.05,0.04,,0.01,,,,0.01,
2022-09-22,61.23,76.70,18.05,4.57,7.62,0.94,0.27,0.10,0.32,0.05,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-23,63.69,77.05,18.34,4.61,7.28,0.91,0.28,0.11,0.33,0.06,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-24,60.90,75.09,18.48,4.67,6.36,0.88,0.29,0.11,0.32,0.06,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-25,61.87,73.93,18.73,4.71,6.23,0.91,0.29,0.11,0.32,0.05,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-26,62.76,76.43,18.44,4.79,7.60,0.89,0.28,0.10,0.31,0.05,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-27,61.72,76.55,18.53,4.72,7.26,0.87,0.24,0.11,0.31,0.05,0.03,0.04,0.04,,0.01,,,,0.01,
2022-09-28,61.94,76.92,18.30,4.87,7.71,0.84,0.26,0.11,0.32,0.05,0.03,0.04,0.04,0.04,0.01,,,,0.01,
2022-09-29,62.29,76.97,17.55,4.82,7.17,0.82,0.29,0.11,0.32,0.05,0.03,0.03,0.04,0.04,0.01,,,,0.01,
2022-09-30,61.27,74.50,17.45,4.80,6.60,0.81,0.27,0.12,0.30,0.05,0.03,0.03,0.04,0.03,0.01,,,,0.01,
2022-10-01,60.88,74.26,18.06,4.94,6.50,0.82,0.28,0.11,0.30,0.05,0.03,0.03,0.04,0.06,0.01,,,,0.01,
2022-10-02,58.67,72.81,18.06,4.96,6.36,0.81,0.28,0.11,0.30,0.05,0.03,0.03,0.04,0.16,0.01,,,,0.01,
2022-10-03,60.00,75.87,17.79,5.28,6.21,0.80,0.27,0.11,0.29,0.05,0.03,0.03,0.03,0.10,0.01,,,,0.01,
2022-10-04,60.61,79.27,17.76,5.38,6.14,0.82,0.27,0.11,0.29,0.05,0.03,0.03,0.04,0.09,0.01,,,,0.01,
2022-10-05,59.37,78.32,18.07,5.21,6.02,0.83,0.28,0.12,0.29,0.05,0.03,0.03,0.04,0.08,0.01,,,,0.01,
2022-10-06,59.05,77.62,17.78,5.15,6.11,0.80,0.26,0.12,0.29,0.05,0.03,0.03,0.04,0.08,0.01,,,,0.01,
2022-10-07,58.54,75.72,17.43,5.29,6.06,0.80,0.27,0.11,0.29,0.05,0.03,0.02,0.04,0.09,0.01,,,,0.01,
2022-10-08,58.52,74.44,17.29,5.08,6.00,0.80,0.26,0.12,0.28,0.05,0.03,0.02,0.04,0.10,0.01,,,,0.01,
2022-10-09,59.32,75.91,17.12,5.03,6.39,0.82,0.26,0.12,0.28,0.05,0.03,0.02,0.04,0.07,0.01,,,,0.01,
2022-10-10,57.54,73.83,16.83,4.87,6.46,0.81,0.25,0.12,0.27,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-11,55.49,71.62,16.10,4.82,6.31,0.78,0.26,0.12,0.27,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-12,55.73,71.58,15.75,4.72,6.27,0.74,0.26,0.11,0.25,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-13,55.00,71.43,15.63,4.62,6.01,0.72,0.32,0.11,0.25,0.05,0.03,0.02,0.03,0.05,0.01,,,,0.01,
2022-10-14,54.63,72.81,15.60,4.51,5.84,0.70,0.30,0.11,0.24,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-15,54.29,71.89,15.72,4.59,5.82,0.67,0.32,0.11,0.24,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-16,55.44,75.57,15.93,4.64,6.13,0.69,0.31,0.12,0.24,0.05,0.03,0.02,0.03,0.06,0.01,,,,0.01,
2022-10-17,55.03,79.01,15.68,4.69,6.60,0.67,0.30,0.11,0.25,0.05,0.03,0.02,0.03,0.07,0.01,,,,0.01,
2022-10-18,52.58,82.35,15.07,4.57,7.28,0.81,0.32,0.11,0.23,0.05,0.03,0.02,0.03,0.07,0.01,,,,0.01,
2022-10-19,50.12,82.51,14.94,4.51,6.72,0.73,0.31,0.11,0.24,0.05,0.03,0.01,0.03,0.06,0.01,,,,0.01,
2022-10-20,49.66,81.15,14.79,4.43,6.77,0.71,0.30,0.11,0.22,0.05,0.04,0.01,0.03,0.07,0.01,,,,0.01,
2022-10-21,49.78,81.85,14.54,4.39,7.08,0.69,0.30,0.11,0.22,0.04,0.03,0.01,0.03,0.06,0.01,,,,0.01,
2022-10-22,50.17,82.24,14.42,4.51,7.03,0.67,0.30,0.11,0.23,0.05,0.03,0.02,0.04,0.06,0.01,,,,0.01,
2022-10-23,51.63,88.99,14.33,4.60,6.90,0.69,0.29,0.11,0.23,0.05,0.07,0.06,0.04,0.06,0.01,,,,0.01,
2022-10-24,49.97,85.33,14.43,4.60,6.68,0.69,0.31,0.11,0.22,0.05,0.05,0.06,0.04,0.06,0.01,,,,0.01,
2022-10-25,50.68,81.79,14.26,4.67,7.67,0.68,0.32,0.11,0.22,0.05,0.06,0.03,0.05,0.06,0.01,,,,0.01,
2022-10-26,53.00,83.31,15.08,4.84,7.36,0.70,0.39,0.12,0.23,0.05,0.05,0.05,0.05,0.07,0.01,,,,0.01,
2022-10-27,50.58,81.64,15.64,4.72,6.66,0.69,0.38,0.12,0.23,0.05,0.05,0.05,0.05,0.07,0.01,,,,0.01,
2022-10-28,51.66,84.15,14.86,4.80,6.47,0.69,0.37,0.11,0.22,0.05,0.05,0.04,0.05,0.07,0.01,,,,0.01,
2022-10-29,51.03,85.34,14.94,4.86,6.60,0.67,0.37,0.12,0.24,0.05,0.05,0.04,0.05,0.08,0.01,,,,0.01,
2022-10-30,50.46,84.05,15.00,5.00,6.84,0.64,0.39,0.12,0.24,0.05,0.05,0.05,0.05,0.08,0.01,,,,0.01,
2022-10-31,50.29,83.85,14.91,5.09,6.90,0.64,0.39,0.12,0.24,0.05,0.05,0.06,0.05,0.08,0.01,,,,0.01,
2022-11-01,48.76,84.74,14.24,5.01,7.07,0.64,0.37,0.12,0.23,0.05,0.05,0.06,0.05,0.10,0.01,,,,0.01,
2022-11-02,46.35,80.46,14.18,4.85,7.35,0.63,0.37,0.12,0.24,0.05,0.05,0.05,0.05,0.12,0.01,,,,0.01,
2022-11-03,47.67,84.13,13.51,5.06,7.76,0.63,0.35,0.11,0.29,0.05,0.05,0.06,0.05,0.12,0.01,,,,0.01,
2022-11-04,51.32,94.30,14.00,5.44,7.92,0.65,0.34,0.14,0.25,0.05,0.05,0.08,0.05,0.13,0.01,,,,0.01,
2022-11-05,51.76,96.18,13.79,5.34,7.94,0.69,0.36,0.14,0.28,0.05,0.05,0.07,0.05,0.17,0.01,,,,0.01,
2022-11-06,48.89,87.04,13.65,5.22,8.36,0.69,0.36,0.14,0.27,0.05,0.05,0.06,0.05,0.17,0.01,,,,0.01,
2022-11-07,49.98,87.40,13.05,5.19,8.44,0.83,0.35,0.13,0.28,0.05,0.05,0.05,0.04,0.13,0.01,,,,0.01,
2022-11-08,42.20,72.47,13.29,4.44,8.09,0.79,0.35,0.13,0.28,0.05,0.05,0.03,0.04,0.10,0.01,,,,0.00,
2022-11-09,34.66,58.52,10.52,3.98,6.79,0.66,0.25,0.10,0.26,0.04,0.04,0.03,0.03,0.08,0.01,,,,0.00,
2022-11-10,40.70,67.90,7.31,4.25,5.44,0.50,0.20,0.08,0.22,0.03,0.03,0.03,0.04,0.10,0.01,,,,0.00,
2022-11-11,39.55,63.37,8.17,4.01,7.06,0.73,0.25,0.10,0.24,0.04,0.04,0.03,0.04,0.09,0.01,,,,0.00,
2022-11-12,37.53,57.87,7.94,3.98,5.17,0.71,0.25,0.09,0.22,0.04,0.03,0.03,0.04,0.07,0.01,,,,0.00,
2022-11-13,38.47,56.37,8.01,3.85,5.17,0.67,0.24,0.09,0.22,0.03,0.04,0.03,0.04,0.07,0.01,,,,0.00,
2022-11-14,38.68,58.65,8.23,4.01,4.88,0.68,0.24,0.09,0.21,0.03,0.03,0.04,0.04,0.08,0.01,,,,0.00,
2022-11-15,41.06,60.76,8.44,4.09,5.31,0.68,0.26,0.09,0.22,0.03,0.04,0.04,0.04,0.08,0.01,,,,0.00,
2022-11-16,39.75,58.16,9.07,3.96,5.25,0.67,0.26,0.09,0.24,0.03,0.04,0.04,0.04,0.08,0.01,,,,0.00,
2022-11-17,38.83,58.60,8.83,3.99,5.05,0.64,0.21,0.09,0.22,0.03,0.04,0.03,0.04,0.08,0.01,,,,0.00,
2022-11-18,38.82,58.31,9.55,3.99,4.81,0.68,0.23,0.09,0.22,0.03,0.04,0.03,0.04,0.09,0.01,,,,0.00,
2022-11-19,39.63,58.57,9.00,3.92,4.92,0.64,0.23,0.09,0.23,0.03,0.04,0.04,0.04,0.09,0.01,,,,0.00,
2022-11-20,37.73,56.09,8.98,3.73,4.87,0.66,0.23,0.09,0.23,0.03,0.04,0.03,0.04,0.08,0.01,,,,0.00,
2022-11-21,36.98,55.66,8.73,3.63,4.21,0.67,0.21,0.08,0.23,0.03,0.04,0.03,0.04,0.07,0.01,,,,0.00,
2022-11-22,37.88,57.44,8.49,3.74,4.00,0.61,0.19,0.08,0.22,0.03,0.04,0.03,0.04,0.07,0.01,,,,0.00,
2022-11-23,38.72,58.51,8.39,3.93,4.10,0.66,0.20,0.09,0.22,0.03,0.04,0.03,0.05,0.07,0.01,,,,0.00,
2022-11-24,37.87,58.41,8.51,4.03,4.49,0.65,0.22,0.09,0.22,0.04,0.04,0.04,0.05,0.06,0.01,,,,0.01,
2022-11-25,38.08,59.01,8.62,4.00,4.52,0.65,0.22,0.09,0.22,0.04,0.04,0.04,0.05,0.06,0.01,,,,0.01,
2022-11-26,37.89,61.56,8.53,4.02,4.44,0.66,0.22,0.09,0.22,0.04,0.04,0.04,0.05,0.06,0.01,,,,0.00,
2022-11-27,37.29,61.45,8.60,4.01,4.44,0.65,0.22,0.09,0.22,0.04,0.04,0.04,0.05,0.06,0.01,,,,0.00,
2022-11-28,36.94,60.24,8.75,4.19,5.08,0.64,0.21,0.09,0.23,0.04,0.04,0.04,0.04,0.05,0.01,,,,0.00,
2022-11-29,37.21,61.55,7.82,4.28,4.98,0.66,0.21,0.09,0.22,0.04,0.04,0.04,0.05,0.05,0.01,,,,0.00,
