Date,Aave ($),Compound ($),Venus ($),BENQI ($),Morpho ($),Spark Protocol ($),TrueFi ($),Radiant Capital ($),Goldfinch ($),Euler ($),Fraxlend ($),Sonne Finance ($),Maple Finance ($),Gearbox ($),Silo Finance ($),BendDAO ($),Shoebill Finance ($)
2019-11-05,,17277641.84,,,,,,,,,,,,,,,
2019-11-06,,17227847.63,,,,,,,,,,,,,,,
2019-11-07,,17128174.13,,,,,,,,,,,,,,,
2019-11-08,,17172161.46,,,,,,,,,,,,,,,
2019-11-09,,17178015.85,,,,,,,,,,,,,,,
2019-11-10,,17232838.41,,,,,,,,,,,,,,,
2019-11-11,,17273491.62,,,,,,,,,,,,,,,
2019-11-12,,17290178.18,,,,,,,,,,,,,,,
2019-11-13,,17241565.23,,,,,,,,,,,,,,,
2019-11-14,,17186791.52,,,,,,,,,,,,,,,
2019-11-15,,17131499.87,,,,,,,,,,,,,,,
2019-11-16,,17206720.38,,,,,,,,,,,,,,,
2019-11-17,,17277227.29,,,,,,,,,,,,,,,
2019-11-18,,17309021.49,,,,,,,,,,,,,,,
2019-11-19,,17327685.69,,,,,,,,,,,,,,,
2019-11-20,,17370506.59,,,,,,,,,,,,,,,
2019-11-21,,17340720.00,,,,,,,,,,,,,,,
2019-11-22,,16533468.66,,,,,,,,,,,,,,,
2019-11-23,,15758061.58,,,,,,,,,,,,,,,
2019-11-24,,15746899.87,,,,,,,,,,,,,,,
2019-11-25,,15458134.55,,,,,,,,,,,,,,,
2019-11-26,,15523245.51,,,,,,,,,,,,,,,
2019-11-27,,15624631.13,,,,,,,,,,,,,,,
2019-11-28,,15759568.58,,,,,,,,,,,,,,,
2019-11-29,,16095954.80,,,,,,,,,,,,,,,
2019-11-30,,16314405.98,,,,,,,,,,,,,,,
2019-12-01,,16252338.51,,,,,,,,,,,,,,,
2019-12-02,,17093658.10,,,,,,,,,,,,,,,
2019-12-03,,18827779.39,,,,,,,,,,,,,,,
2019-12-04,,20520991.62,,,,,,,,,,,,,,,
2019-12-05,,21190026.31,,,,,,,,,,,,,,,
2019-12-06,,21567831.63,,,,,,,,,,,,,,,
2019-12-07,,21620733.99,,,,,,,,,,,,,,,
