Date,Silo Finance ($),Shoebill Finance ($),Morpho ($),Sonne Finance ($),Euler ($),BendDAO ($),Goldfinch ($),Notional Finance ($),Maple Finance ($),TrueFi ($),Radiant Capital ($),Venus ($),BENQI ($),Aave ($),Compound ($)
2019-05-07,,,,,,,,,,,,,,,0.00
2019-05-08,,,,,,,,,,,,,,,0.08
2019-05-09,,,,,,,,,,,,,,,0.12
2019-05-10,,,,,,,,,,,,,,,0.02
2019-05-11,,,,,,,,,,,,,,,0.05
2019-05-12,,,,,,,,,,,,,,,0.00
2019-05-13,,,,,,,,,,,,,,,0.36
2019-05-14,,,,,,,,,,,,,,,0.10
2019-05-15,,,,,,,,,,,,,,,0.15
2019-05-16,,,,,,,,,,,,,,,0.04
2019-05-17,,,,,,,,,,,,,,,0.21
2019-05-18,,,,,,,,,,,,,,,0.04
2019-05-19,,,,,,,,,,,,,,,0.17
2019-05-20,,,,,,,,,,,,,,,0.06
2019-05-21,,,,,,,,,,,,,,,0.03
2019-05-22,,,,,,,,,,,,,,,0.32
2019-05-23,,,,,,,,,,,,,,,0.66
2019-05-24,,,,,,,,,,,,,,,1.74
2019-05-25,,,,,,,,,,,,,,,3.00
2019-05-26,,,,,,,,,,,,,,,3.28
2019-05-27,,,,,,,,,,,,,,,4.05
2019-05-28,,,,,,,,,,,,,,,7.17
2019-05-29,,,,,,,,,,,,,,,7.94
2019-05-30,,,,,,,,,,,,,,,9.31
2019-05-31,,,,,,,,,,,,,,,15.96
2019-06-01,,,,,,,,,,,,,,,20.50
2019-06-02,,,,,,,,,,,,,,,21.76
2019-06-03,,,,,,,,,,,,,,,17.58
2019-06-04,,,,,,,,,,,,,,,19.52
2019-06-05,,,,,,,,,,,,,,,15.61
2019-06-06,,,,,,,,,,,,,,,17.49
2019-06-07,,,,,,,,,,,,,,,18.37
2019-06-08,,,,,,,,,,,,,,,16.98
2019-06-09,,,,,,,,,,,,,,,18.93
2019-06-10,,,,,,,,,,,,,,,27.39
2019-06-11,,,,,,,,,,,,,,,33.19
2019-06-12,,,,,,,,,,,,,,,39.16
2019-06-13,,,,,,,,,,,,,,,43.91
2019-06-14,,,,,,,,,,,,,,,44.79
2019-06-15,,,,,,,,,,,,,,,47.46
2019-06-16,,,,,,,,,,,,,,,47.42
2019-06-17,,,,,,,,,,,,,,,53.60
2019-06-18,,,,,,,,,,,,,,,57.77
2019-06-19,,,,,,,,,,,,,,,59.04
2019-06-20,,,,,,,,,,,,,,,58.10
2019-06-21,,,,,,,,,,,,,,,62.65
2019-06-22,,,,,,,,,,,,,,,65.07
2019-06-23,,,,,,,,,,,,,,,74.03
2019-06-24,,,,,,,,,,,,,,,67.16
2019-06-25,,,,,,,,,,,,,,,68.39
2019-06-26,,,,,,,,,,,,,,,72.95
2019-06-27,,,,,,,,,,,,,,,85.89
2019-06-28,,,,,,,,,,,,,,,95.73
2019-06-29,,,,,,,,,,,,,,,81.18
2019-06-30,,,,,,,,,,,,,,,81.49
2019-07-01,,,,,,,,,,,,,,,88.97
2019-07-02,,,,,,,,,,,,,,,91.11
2019-07-03,,,,,,,,,,,,,,,161.31
2019-07-04,,,,,,,,,,,,,,,234.88
2019-07-05,,,,,,,,,,,,,,,246.89
2019-07-06,,,,,,,,,,,,,,,209.34
2019-07-07,,,,,,,,,,,,,,,211.56
2019-07-08,,,,,,,,,,,,,,,201.71
2019-07-09,,,,,,,,,,,,,,,212.37
2019-07-10,,,,,,,,,,,,,,,231.08
2019-07-11,,,,,,,,,,,,,,,246.13
2019-07-12,,,,,,,,,,,,,,,247.60
2019-07-13,,,,,,,,,,,,,,,250.49
2019-07-14,,,,,,,,,,,,,,,258.73
2019-07-15,,,,,,,,,,,,,,,163.57
2019-07-16,,,,,,,,,,,,,,,115.37
2019-07-17,,,,,,,,,,,,,,,115.82
2019-07-18,,,,,,,,,,,,,,,125.85
2019-07-19,,,,,,,,,,,,,,,134.08
2019-07-20,,,,,,,,,,,,,,,165.10
2019-07-21,,,,,,,,,,,,,,,165.83
2019-07-22,,,,,,,,,,,,,,,170.61
2019-07-23,,,,,,,,,,,,,,,174.89
2019-07-24,,,,,,,,,,,,,,,185.94
2019-07-25,,,,,,,,,,,,,,,217.36
2019-07-26,,,,,,,,,,,,,,,356.64
2019-07-27,,,,,,,,,,,,,,,301.84
2019-07-28,,,,,,,,,,,,,,,304.90
2019-07-29,,,,,,,,,,,,,,,323.79
2019-07-30,,,,,,,,,,,,,,,387.66
2019-07-31,,,,,,,,,,,,,,,456.82
2019-08-01,,,,,,,,,,,,,,,533.65
2019-08-02,,,,,,,,,,,,,,,561.42
2019-08-03,,,,,,,,,,,,,,,476.80
2019-08-04,,,,,,,,,,,,,,,465.60
2019-08-05,,,,,,,,,,,,,,,536.33
2019-08-06,,,,,,,,,,,,,,,590.02
2019-08-07,,,,,,,,,,,,,,,700.78
2019-08-08,,,,,,,,,,,,,,,680.95
2019-08-09,,,,,,,,,,,,,,,659.71
2019-08-10,,,,,,,,,,,,,,,671.29
2019-08-11,,,,,,,,,,,,,,,670.68
2019-08-12,,,,,,,,,,,,,,,662.99
2019-08-13,,,,,,,,,,,,,,,681.92
2019-08-14,,,,,,,,,,,,,,,708.88
2019-08-15,,,,,,,,,,,,,,,641.68
2019-08-16,,,,,,,,,,,,,,,633.56
2019-08-17,,,,,,,,,,,,,,,633.07
2019-08-18,,,,,,,,,,,,,,,632.44
2019-08-19,,,,,,,,,,,,,,,621.01
2019-08-20,,,,,,,,,,,,,,,596.71
2019-08-21,,,,,,,,,,,,,,,596.71
2019-08-22,,,,,,,,,,,,,,,603.74
2019-08-23,,,,,,,,,,,,,,,623.51
2019-08-24,,,,,,,,,,,,,,,594.53
2019-08-25,,,,,,,,,,,,,,,623.86
2019-08-26,,,,,,,,,,,,,,,631.47
2019-08-27,,,,,,,,,,,,,,,646.88
2019-08-28,,,,,,,,,,,,,,,672.59
2019-08-29,,,,,,,,,,,,,,,673.65
2019-08-30,,,,,,,,,,,,,,,639.92
2019-08-31,,,,,,,,,,,,,,,646.88
2019-09-01,,,,,,,,,,,,,,,602.87
2019-09-02,,,,,,,,,,,,,,,633.09
2019-09-03,,,,,,,,,,,,,,,590.49
2019-09-04,,,,,,,,,,,,,,,563.45
2019-09-05,,,,,,,,,,,,,,,575.99
2019-09-06,,,,,,,,,,,,,,,559.51
2019-09-07,,,,,,,,,,,,,,,532.55
2019-09-08,,,,,,,,,,,,,,,499.20
2019-09-09,,,,,,,,,,,,,,,508.60
2019-09-10,,,,,,,,,,,,,,,513.87
2019-09-11,,,,,,,,,,,,,,,526.62
2019-09-12,,,,,,,,,,,,,,,524.46
2019-09-13,,,,,,,,,,,,,,,494.25
2019-09-14,,,,,,,,,,,,,,,540.64
2019-09-15,,,,,,,,,,,,,,,529.46
