Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
1/4/2022,1513725.85,132352.75,13897.69,,,59818.3,16337.22,,,,,,,4633.26,,,412.79,,,
1/5/2022,212353.07,1929593.02,15492.26,,,357985.34,18736.25,,,,,,,43927.59,,,1776.29,,,
1/6/2022,122888.97,429704.88,7293.85,,,19583.79,72005.55,,,,,,,3850.78,,,342.6,,,
1/7/2022,45756.61,26892.3,10415.93,,,39043.57,13489.01,,,,,,,27151.36,,,308.3,,,
1/8/2022,234010.31,11635.64,16476.21,,,13569.29,438.7,,,,,,,3275.44,,,5230.94,,,
1/9/2022,115411.53,10657.15,3020.07,,,1037.04,4.03,,,,,,,36714.86,,,506.87,,,
1/10/2022,111397.83,28680.72,38923.41,,,6364.31,1744.92,,,,,,,1883.66,,,306.13,,,
1/11/2022,48013.95,30941.84,18332.72,,,29999.45,673.13,,,2813.32,,,,3015.43,,,1348.12,,,
1/12/2022,47336.33,266322.06,144826.86,,,31349.16,795.16,,,514376.63,,,,7621.4,,,569.05,,,
1/13/2022,12682.85,65220.47,32253.78,,,9941.05,52419.57,,,87.55,,,,19544.32,,,38.16,,,
1/14/2022,270227.08,57247.37,9170.82,,,1013250.59,103096.25,,,26974.59,,,,2497.16,,,543.9,,,
1/15/2022,105657.8,41031.12,131832.51,,,238110.73,127466.58,,,0,,,,61587.3,,,197.37,,,
1/16/2022,60578.75,33985.83,21797.45,,,139249.85,98150.84,,,0,,,,6460.94,,,228.86,,,
1/17/2022,40694.71,264097.54,17279.45,,,87483.14,113052.43,,,6063.32,,,,23078.47,,,20.67,,,
1/18/2022,1458794.84,19086.12,24391.99,,,77964.19,82315.87,,,11276.52,,,,19863.71,,,100.02,,,
1/19/2022,319734.81,303531.38,11902.6,,,353285.19,48381.81,,,14454.84,,,,5265.52,,,124.9,,,
1/20/2022,162247.39,281835.93,27351.51,,,261586.19,67071.9,,,148.99,,,,6354.95,,,1848.73,,,
1/21/2022,312032.87,16973.39,18400.28,,,54033.91,67829.55,,,6.48,,,,20738.34,,,230.86,,,
1/22/2022,1821836.21,336725.66,95624.53,,,10636.81,22359.14,,,0,,,,1810.82,,,0,,,
1/23/2022,69773.22,12004.6,8596.03,,,29246.04,25310.09,,,306.61,,,,2136.42,,,24.45,,,
1/24/2022,147267.65,58666.8,17602.82,,,10711.25,46974.04,,,736.86,,,,18352.95,,,0,,,
1/25/2022,10496776.97,166635.1,58202.68,,,28166.49,119305.23,,,0,,,,3543.92,,,91.86,,,
1/26/2022,9213725.13,1733716.65,20404.45,,,7410.79,57445.55,,,93884.25,,,,13021.2,,,0,,,
1/27/2022,1033690.59,64540.98,11203.1,,,41086.38,41611.57,,,12.57,,,,919.95,,,0,,,
1/28/2022,5045608.61,60412.31,26166.35,,,7113.37,95690.47,,,0,,,,2749.64,,,72.67,,,
1/29/2022,431811.92,38240.2,9074.83,,,27924.2,34969.92,,,0,,,,5415.21,,,0.9,,,
1/30/2022,192938.38,47503.12,80411.97,,,24710.01,40043.47,,,0,,,,2607.12,,,14.44,,,
1/31/2022,309017.86,26560.4,17896.19,,,6426.9,30782.11,,,69.15,,,,22875.04,,,91.9,,,
2/1/2022,563595.35,149279.62,8315.52,,,46588.76,37955.64,,,55.08,,,,12506.25,,,9.74,,,
2/2/2022,475163.31,1645622.95,38850.71,,,8233.26,80937.89,,,96.53,,,,5765.55,,,27.14,,,
2/3/2022,1237933.92,59889.35,9088.21,,,179883.01,46959.37,,,0.6,,,,554.36,139.3,,15.81,,,
2/4/2022,150655.49,980900.5,25913.69,,,45209.16,54307.65,,,0,,,,452.87,1160.21,,609.06,,,
2/5/2022,114861.67,26758.04,23067.26,,,96964.07,64665.47,,,124.03,,,,5132.86,3546.6,,9.95,,,
2/6/2022,130839.48,20599.21,114913.61,,,13112.29,53336.79,,,0,,,,3242.02,4700.71,,467.38,,,
2/7/2022,463506.12,23002.32,13796.32,,,724274.35,53388.46,,,53731.52,,,,4883.62,2652.37,,99.98,,,
2/8/2022,517047.58,28398.66,37256.2,,,386487.6,71655.01,,,129.93,,,,5021.2,3169.72,,0.94,,,
2/9/2022,384817.64,852064.08,19358.13,,,104706.07,24656.6,,,75040.68,,,,4821.64,12012.66,,0.68,,,
2/10/2022,117092.4,64683.01,12603.43,,,175362.14,156811.45,,,5.91,,,,1915.99,2239.66,,0,,,
2/11/2022,330995.25,24233.6,13623.16,,,131909.71,25559.82,,,580.01,,,,5974.95,491.2,,5.77,,,
2/12/2022,55433.48,15447.3,98886.26,,,38538.9,22222.9,,,0,,,,1082.39,2635.95,,710.19,,,
2/13/2022,162733.38,547472.62,14576.5,,,29756.32,70474.21,,,7.45,,,,3382.55,2624.14,,0,,,
2/14/2022,152449.08,15591.68,10631.85,,,37496.39,65216.27,,,1088.01,,,,8886,2916.86,,61.41,,,
2/15/2022,1111595.55,329420.94,12500.71,,,34563.94,166360.52,,,59140.54,,,,22516.48,3078.5,,0,,,
2/16/2022,140586.44,1150966.27,9619.91,,,13662.96,75638.16,,,708.44,,,,6127.35,2276.05,,6.62,,,
2/17/2022,231171.2,63436.05,11483.46,,,12487.63,31676.07,,,0,,,,367.74,2756.72,,1.26,,,
2/18/2022,19059.17,44129.04,7374.06,,,15299.67,40138.06,,,5.96,,,,1288.32,1402.08,,0.34,,,
2/19/2022,130068.62,10438.98,11146.63,,,15295.69,15329.29,,,0,,,,5421.68,5462.95,,0,,,
2/20/2022,192770.96,11788.91,28522.65,,,32920.01,84190.97,,,0,,,,385.09,821.6,,22.04,,,
2/21/2022,36184.76,20866.83,121867.43,,,26399.47,37354.72,,,8231.47,,,,4530.34,7109.91,,22.71,,,
2/22/2022,5176336.08,136772.04,17091.3,,,5046.66,33442.65,,,194874.77,,,,1305.99,951.79,,0.21,,,
2/23/2022,7847236.27,331911.25,11638.25,,,22392.52,59316.12,,,0,,,,8284.34,14263.21,,0.01,,,
2/24/2022,1497418.79,337257.43,10313.47,,,12492.27,7240.35,,,4541.88,,,,25115.74,5526.54,,3894.9,,,
2/25/2022,4098088.83,214441.53,13255.6,,,54712.65,214112.13,,,1532.06,,,,1933.53,889.85,,0,,,
2/26/2022,3978472.28,278425.16,7184.06,,,19007.5,12116.53,,,14.24,,,,2379.86,1254.41,,0,,,
2/27/2022,336715.23,24783.93,11566.03,,,9548.6,86953.36,,,0,,,,2602.7,1678.48,,0,,,
2/28/2022,200917.78,50409.84,34556.37,,,40247.9,16985.76,,,21781.4,,,,6368.44,4578.56,,0.47,,,
3/1/2022,209662.63,767152.27,25420.62,,,35095.3,17943.51,,,2931.9,,,,22053.53,1362.86,,0,,,
3/2/2022,4021102.65,2802322.88,14763.11,,,25794.14,78702.69,,,171387.28,,,,8051.38,6845.33,,9.07,,,
3/3/2022,83986.32,100815.91,18507.57,,,63926.1,19466.93,,,1232.9,,,,1959.83,770.02,,68.01,,,
3/4/2022,46605.25,181063.4,11226.71,,,7543.25,79130.85,,,0,,,,5358.92,2318.53,,1.24,,,
3/5/2022,95970.2,47861.09,8065.58,,,44848.82,29621.51,,,33.24,,,,1435.33,1467.41,,21.28,,,
3/6/2022,86303.74,33153.05,15928.4,,,7161.41,28310.65,,,0,,,,15474.8,2125.19,,0,,,
3/7/2022,104077.61,98999.67,7483.75,,,17568.28,69876.05,,,16126.84,,,,5429.01,1045.21,,0,,,
3/8/2022,163201.17,962144.59,7984.85,,,313560.42,186957.66,,,134517.92,,,,1036.22,1929.23,,0,,,
3/9/2022,63036.93,4972585.02,10897.57,,,103251.51,61831.07,,,11127.15,,,,2899.13,21974.73,,13.48,,,
3/10/2022,151418.77,379845.54,16575.29,,,33733.93,19803.08,,,4933.91,,,,660.5,1975.76,,11.88,,,
3/11/2022,87978.33,39186.16,9944.84,,,32946.08,22050.64,,,702.9,,,,1690.75,695.2,,0,,,
3/12/2022,63186,13736.56,201241.19,,,16907,68728.45,,,3558.4,,,,1027.05,603.05,,0,,,
3/13/2022,110177.8,24757.82,6908.21,,,14756.53,18116.04,,,0,,,,838.69,1113.68,,0,,,
3/14/2022,33702.57,16204.05,32926.86,,,37683.12,31896.74,,,38933.85,,,,3205.84,94,,0,,,
3/15/2022,93826.02,58231.78,6232.64,,,23684.25,83593.78,,,244814.06,,,,1115.76,7512.13,,0,,,
3/16/2022,49118.42,2025075.97,9328.59,,,11635.84,86090.62,,,4720.52,,,,5943.12,1589.5,,0,,,
3/17/2022,124140.28,2701584.84,27208.44,,,7443.94,296696.58,,,2633.39,,,,6073.78,1675.34,,0,,,
3/18/2022,128601.25,133467.48,22695.77,,,63133.85,71567.54,,,287.07,,,,4471.2,9239.79,,0,,,
3/19/2022,88887.77,112690.62,17543.92,,,43740.92,69705.75,,,364.4,,,,565.48,1287.6,,0,,,
3/20/2022,70241.06,32740.02,43843.47,,,22373.25,25588.12,,,0,,,,410.02,266.39,,8.25,,,
3/21/2022,67526.36,41179.49,123491.25,,,20735.33,83942.45,,,248049.54,,,,765.49,1809.46,,0,,,
3/22/2022,4754540.49,71831.2,12853.93,,,12364.02,48064.28,,,17138.8,,,,3714,18833.6,,131.61,,,
3/23/2022,8048148.83,2595120.37,14426.74,,,21479.18,43905.93,,,17.36,,,,17738.75,1891.99,,0,,,
3/24/2022,3346907.37,1251429.98,20265.52,,,71042.56,27210.41,,,0,,,,5070.57,740.24,,0,,,
3/25/2022,4174888.05,21100.64,13770.07,,,11234.17,72473.96,,,3280.86,,,,34568.72,983.55,,0,,,
3/26/2022,419965.49,3241.87,81968.12,,,2959.1,177406.35,,,322.2,,,,29116.79,231.13,,0,,,
3/27/2022,165382.24,5685.38,15394.55,,,17158.59,40993.82,,,0,,,,8884.48,908.73,,0,,,
