Date,GMX (#),SynFutures (#),Perpetual Protocol (#),Synthetix (#),Pika Protocol (#),Kwenta (#),Pendle (#),Gains Network (#),MUX (#),Lyra (#),Thales (#),Vertex (#),ApolloX (#),Mummy Finance (#),Holdstation (#),Cap (#),Voltz (#),HMX (#),Polynomial Protocol (#),Level Finance (#)
3/15/2023,2767,89,348,536,152,434,134,555,181,270,279,0,,192,,68,123,,13,98
3/16/2023,2712,70,305,416,132,334,115,461,211,216,282,0,,136,,64,238,,9,90
3/17/2023,3097,86,403,508,173,421,80,580,206,247,293,0,,257,,84,146,,13,102
3/18/2023,2366,93,363,417,174,332,98,435,174,244,358,0,,210,,72,366,,12,104
3/19/2023,2130,73,307,409,171,331,92,416,130,250,318,0,,194,,66,400,,13,82
3/20/2023,2475,235,317,474,125,365,83,501,159,238,183,0,,214,,62,192,,30,82
3/21/2023,2259,184,308,399,168,321,77,444,174,190,223,0,,221,,74,258,,22,80
3/22/2023,2994,224,314,516,136,411,86,572,243,232,196,0,,227,,103,194,,13,108
3/23/2023,2473,207,284,402,84,304,99,452,203,179,187,2,,184,,100,140,,17,87
3/24/2023,2213,218,240,376,151,295,56,446,242,256,298,2,,265,,136,283,,14,80
3/25/2023,1632,135,215,228,95,186,71,295,194,193,280,0,,252,,97,582,,5,55
3/26/2023,1653,102,214,248,131,191,53,317,205,160,354,0,,178,,85,878,,13,61
3/27/2023,2240,160,306,562,155,308,53,522,262,230,238,0,,248,,122,458,,167,86
3/28/2023,2121,123,300,1310,155,420,75,436,274,253,278,0,,320,,113,267,,914,71
3/29/2023,2215,144,293,1132,134,392,81,493,255,258,254,0,,307,,105,510,,667,74
3/30/2023,2198,200,275,1100,158,374,157,506,292,223,256,0,,268,,95,847,,645,86
3/31/2023,1956,143,322,907,142,308,157,465,260,195,293,0,,253,,89,84,,512,84
4/1/2023,1198,49,200,819,102,221,94,298,189,183,320,0,,212,,62,426,,429,61
4/2/2023,1685,172,242,902,144,274,86,376,259,186,311,0,,223,,90,439,,512,67
4/3/2023,1970,338,341,973,168,487,112,588,319,205,362,0,,278,,99,260,,436,93
4/4/2023,1993,148,770,947,163,561,91,506,251,198,529,2,,232,,107,198,,360,79
4/5/2023,2256,142,374,694,152,386,148,541,269,196,395,0,,200,,95,135,,212,93
4/6/2023,1726,119,1738,541,116,330,140,429,226,147,331,3,,146,,72,110,,84,65
4/7/2023,1343,121,406,431,105,270,118,304,182,208,351,5,,133,,59,86,,78,54
4/8/2023,1026,115,1288,337,120,194,80,243,140,145,405,2,,94,,48,127,,89,60
4/9/2023,1319,103,220,366,131,245,88,287,176,141,338,2,,121,,47,274,,81,75
4/10/2023,1991,253,302,472,176,300,126,477,239,161,318,82,,138,,67,189,,106,107
4/11/2023,2220,238,337,524,168,324,115,508,268,147,385,64,,204,,80,187,,122,102
4/12/2023,2449,223,300,543,185,370,102,529,275,168,358,63,6,195,,85,271,,106,106
4/13/2023,2439,346,352,702,193,448,100,556,309,159,316,53,13,155,,90,165,,174,91
4/14/2023,2719,340,406,716,193,466,102,654,371,258,319,67,72,177,,119,82,,104,114
4/15/2023,1256,329,247,450,107,326,109,328,251,971,340,29,68,116,,48,71,,62,69
4/16/2023,1519,341,274,465,121,349,79,368,237,138,296,35,55,143,,52,66,,62,85
4/17/2023,1973,345,335,589,174,434,61,532,267,177,266,32,81,187,,76,75,,62,97
4/18/2023,1739,342,716,624,160,451,79,504,309,126,229,12,97,179,,76,61,,76,75
4/19/2023,2457,356,326,967,175,668,69,639,331,145,225,8,18,229,,106,47,,110,154
4/20/2023,2011,406,286,1067,153,758,83,532,287,148,227,8,40,175,,91,43,,80,102
4/21/2023,2207,462,333,853,186,581,82,538,294,222,258,6,60,205,,100,48,,84,106
4/22/2023,1381,465,221,473,96,353,60,275,211,130,280,5,44,128,,76,41,,69,87
4/23/2023,1133,458,250,478,156,352,53,297,240,126,238,6,40,175,,61,71,,54,56
4/24/2023,1575,518,259,512,170,371,64,428,242,132,188,9,64,162,,67,88,,51,83
4/25/2023,1694,423,245,527,192,399,60,488,266,145,213,8,78,226,,74,73,,70,91
4/26/2023,2522,584,293,870,235,606,68,550,346,475,277,100,101,244,,129,51,,158,115
4/27/2023,1669,520,215,548,158,412,63,392,280,131,212,117,83,172,,104,70,,113,96
4/28/2023,1213,838,220,515,104,391,54,355,236,157,203,154,86,144,,94,150,,73,96
4/29/2023,748,662,168,322,128,247,45,195,167,99,207,105,57,110,,46,197,,43,47
4/30/2023,1173,547,186,445,120,337,39,245,191,105,224,123,89,158,,65,169,,67,69
5/1/2023,1647,649,246,587,134,449,48,441,290,139,184,114,122,183,,93,180,,100,98
5/2/2023,1207,791,204,452,94,361,58,351,201,133,171,109,101,134,,89,46,,79,75
5/3/2023,1356,713,212,439,86,310,43,404,257,124,194,110,105,196,,111,32,,73,70
5/4/2023,1133,611,205,444,80,334,1525,349,214,125,168,114,97,139,,93,26,,58,53
5/5/2023,1589,265,234,523,95,399,674,387,274,174,152,124,107,165,,104,18,,81,71
5/6/2023,1509,280,257,514,76,405,359,325,285,133,172,120,94,160,,81,21,,72,81
5/7/2023,891,295,184,299,85,247,319,223,178,110,153,81,71,109,,47,42,,43,56
5/8/2023,1777,334,298,608,121,435,353,496,350,138,140,111,124,229,,102,14,,89,91
5/9/2023,1033,307,214,344,80,285,352,337,200,92,151,84,85,135,2,64,42,,34,40
5/10/2023,1598,325,247,484,97,413,461,479,311,118,168,114,117,201,2,87,50,,77,80
5/11/2023,1443,255,284,523,130,377,769,453,273,141,151,103,102,181,1,89,21,,83,68
5/12/2023,1701,643,301,500,111,366,780,461,283,165,193,135,142,192,5,112,27,,70,62
5/13/2023,760,291,182,272,64,206,754,203,155,95,204,97,79,100,1,48,52,,37,43
5/14/2023,783,295,158,241,49,196,813,188,174,89,175,76,80,105,1,38,125,,18,41
5/15/2023,1185,320,210,359,67,296,537,377,216,114,148,153,126,154,4,71,56,,63,55
5/16/2023,984,320,193,312,57,268,464,353,182,1038,182,190,86,131,3,62,60,,27,32
5/17/2023,1116,241,226,430,80,362,605,409,235,566,209,157,81,192,3,75,53,,75,45
5/18/2023,1120,307,215,353,69,292,614,401,229,323,182,164,75,169,6,71,49,,65,45
5/19/2023,774,366,189,701,57,243,473,311,141,114,185,115,69,138,5,48,66,,470,28
5/20/2023,562,346,161,787,48,167,435,152,110,91,180,104,52,85,2,33,125,,592,18
5/21/2023,699,339,185,593,46,206,475,183,135,165,152,127,80,99,2,39,192,,357,32
5/22/2023,822,343,204,491,67,215,394,326,142,123,154,151,80,126,3,53,98,,248,50
5/23/2023,1180,348,228,552,74,306,376,360,192,133,168,242,111,130,4,60,57,,203,54
5/24/2023,1464,349,233,533,94,352,383,455,227,138,167,221,138,243,6,77,84,,142,71
5/25/2023,1195,417,219,405,65,291,587,396,178,104,179,148,93,153,3,61,85,,82,60
5/26/2023,938,411,193,342,52,264,393,346,171,134,146,128,102,126,3,51,60,,65,66
5/27/2023,590,587,170,268,47,193,440,149,116,89,167,106,73,76,2,31,117,,64,33
5/28/2023,1329,597,224,426,73,319,406,289,195,110,170,140,118,175,5,58,142,,78,79
5/29/2023,1144,531,214,387,101,331,377,314,190,93,176,125,129,134,8,50,194,,83,56
5/30/2023,900,521,204,403,522,331,321,373,175,94,123,130,113,128,8,41,151,,65,41
5/31/2023,1295,577,246,449,322,349,358,355,238,88,151,122,138,164,9,58,165,,51,64
6/1/2023,1044,439,203,303,162,257,248,318,182,57,143,107,126,119,5,58,131,,39,66
6/2/2023,969,762,193,319,154,265,248,336,195,126,125,106,115,115,4,54,90,,58,61
6/3/2023,611,680,169,245,155,205,264,159,121,80,118,88,77,87,3,34,126,,77,30
6/4/2023,678,679,179,193,77,151,362,195,135,67,143,83,82,91,1,33,71,,29,27
6/5/2023,1901,766,343,296,214,166,229,494,339,127,139,146,221,182,7,86,38,,30,93
6/6/2023,1638,845,682,91,43,56,283,416,305,104,113,125,134,154,8,69,68,,3,84
6/7/2023,1277,704,1530,375,60,310,1989,410,271,88,147,135,165,199,15,68,77,,39,85
6/8/2023,978,902,1018,303,57,263,1746,317,193,86,126,104,128,161,13,50,34,,29,56
6/9/2023,815,588,243,318,53,273,1080,335,169,103,139,99,134,135,18,47,35,,37,40
6/10/2023,1932,939,592,587,126,437,1170,415,361,123,167,110,200,258,17,74,79,,43,88
6/11/2023,849,707,199,266,55,254,2097,216,164,87,110,71,105,168,11,50,88,,19,45
6/12/2023,994,871,243,374,58,331,3264,361,216,95,114,91,148,200,40,53,63,,20,87
6/13/2023,1099,824,1162,366,64,342,2055,420,232,78,92,98,153,230,45,60,46,,26,73
6/14/2023,1722,946,860,503,95,361,1413,492,245,133,72,113,174,192,44,85,46,,24,90
6/15/2023,1614,891,382,434,87,385,915,411,280,139,94,116,153,188,44,71,85,,30,87
6/16/2023,1328,891,298,369,110,354,978,372,262,111,112,113,135,161,38,67,74,,26,79
6/17/2023,977,678,286,318,57,298,1181,247,208,89,110,101,120,136,50,45,62,,14,80
6/18/2023,702,740,266,229,43,230,1095,208,158,61,91,91,97,112,49,30,71,,18,49
6/19/2023,1041,803,276,321,83,295,902,318,201,66,112,114,109,113,51,40,81,,26,66
6/20/2023,1660,421,236,458,123,425,723,434,319,81,129,155,183,167,51,73,98,,30,87
6/21/2023,2164,378,287,602,124,511,793,422,400,115,130,174,233,251,59,89,109,,48,121
6/22/2023,1607,667,240,469,102,456,819,375,431,146,92,160,158,203,39,78,69,11,24,84
6/23/2023,1689,730,209,445,109,432,869,385,360,87,79,194,189,190,50,67,124,11,29,97
6/24/2023,912,804,188,333,70,329,676,221,268,47,94,152,133,146,48,37,140,6,17,64
6/25/2023,1042,692,235,359,86,342,875,236,258,110,85,156,140,130,66,40,107,6,29,57
6/26/2023,1352,685,221,405,76,386,877,359,312,63,71,218,169,160,73,58,152,15,26,107
6/27/2023,1173,668,201,410,60,395,843,334,269,50,103,242,136,124,68,62,254,17,34,73
6/28/2023,1398,768,250,441,78,409,670,370,270,75,115,203,154,147,51,56,516,19,41,104
6/29/2023,1066,791,212,371,63,357,573,302,220,71,80,237,124,142,71,45,1935,21,20,64
6/30/2023,1821,771,258,523,102,503,529,392,354,128,92,266,196,239,80,73,792,22,49,109
7/1/2023,825,687,216,303,53,312,514,183,179,92,85,183,110,128,77,29,170,13,15,72
7/2/2023,945,655,221,323,46,318,634,238,199,46,102,211,117,153,96,35,97,15,21,79
7/3/2023,1271,639,240,417,72,413,717,304,272,81,92,300,146,179,184,57,45,28,43,106
7/4/2023,995,553,203,380,74,371,628,307,182,51,126,236,144,162,297,52,71,52,48,95
7/5/2023,1235,819,221,470,76,398,452,335,267,71,100,238,143,182,193,60,51,76,131,89
7/6/2023,1554,774,238,592,63,494,511,393,326,73,107,258,184,217,244,71,39,96,145,100
7/7/2023,1055,783,209,459,48,360,498,296,249,82,105,232,139,146,155,56,58,97,117,92
7/8/2023,724,548,192,447,26,278,618,150,201,43,94,185,98,86,173,22,27,67,188,61
7/9/2023,605,481,174,404,20,248,625,141,117,44,79,194,90,70,139,25,35,74,204,47
7/10/2023,1105,780,229,558,46,414,576,339,215,63,71,324,150,78,205,48,34,111,219,88
7/11/2023,824,677,197,452,37,319,477,268,181,39,96,285,116,42,124,34,23,95,193,78
7/12/2023,1087,683,211,576,44,418,440,355,238,58,96,314,145,91,115,36,59,105,217,86
7/13/2023,1972,708,294,761,63,620,459,574,370,91,89,386,251,118,131,80,70,119,299,120
7/14/2023,1950,793,282,776,100,665,530,488,396,105,125,401,240,177,145,85,45,80,262,111
7/15/2023,731,766,202,417,44,348,573,225,213,49,109,192,126,92,103,34,57,48,117,48
7/16/2023,723,627,181,363,50,310,451,267,210,33,109,215,164,84,135,30,30,42,90,55
7/17/2023,1369,745,219,570,61,477,371,382,296,55,83,295,189,100,154,58,37,75,131,81
7/18/2023,1088,797,203,543,61,417,370,365,289,52,98,279,168,95,112,45,38,87,157,75
7/19/2023,876,763,211,451,51,373,334,330,238,39,87,283,157,73,195,43,41,67,103,64
7/20/2023,1163,764,207,532,67,419,370,385,269,49,93,282,212,107,155,48,39,100,109,62
7/21/2023,745,686,187,444,63,373,324,298,195,55,92,250,140,99,128,41,26,116,98,44
7/22/2023,852,606,180,324,75,266,367,243,169,54,66,229,128,88,96,32,37,81,73,51
7/23/2023,763,703,182,350,44,300,358,216,224,45,80,239,117,80,100,25,60,93,64,39
7/24/2023,1414,757,235,549,67,397,301,402,312,52,80,295,230,127,115,54,45,177,124,71
7/25/2023,825,626,190,416,44,353,375,276,199,41,102,278,138,67,94,30,100,112,88,38
7/26/2023,935,760,224,445,57,358,418,342,242,44,94,307,153,81,105,47,291,121,98,49
7/27/2023,769,733,193,598,56,373,471,300,205,41,119,391,136,68,107,40,254,107,301,55
7/28/2023,665,649,195,470,53,297,2352,241,185,58,110,420,113,62,94,26,144,118,219,46
7/29/2023,467,527,157,354,26,231,1900,153,117,42,89,508,102,47,61,23,224,110,157,28
7/30/2023,696,732,218,504,62,429,1308,267,177,29,111,514,135,76,93,38,288,96,179,54
7/31/2023,777,677,235,529,75,448,1093,304,186,36,87,372,248,73,161,32,706,139,217,49
8/1/2023,1278,753,238,621,92,580,919,445,235,60,137,392,357,97,192,54,0,164,214,78
8/2/2023,1074,747,219,548,126,471,949,357,238,53,98,355,368,93,101,48,0,126,163,81
8/3/2023,839,614,296,492,89,410,771,313,180,42,101,339,439,100,110,44,0,155,155,47
8/4/2023,1239,689,342,432,116,378,711,304,165,54,97,382,501,96,118,40,0,164,133,57
8/5/2023,1149,527,319,326,36,278,707,182,98,39,99,258,461,61,119,19,0,91,112,33
8/6/2023,519,605,309,319,47,280,668,172,90,35,98,258,405,59,104,25,0,68,108,28
8/7/2023,1147,739,379,484,75,410,615,253,183,50,106,548,469,94,136,34,0,204,138,52
8/8/2023,1190,721,248,505,69,430,526,279,218,49,125,524,482,97,149,36,0,166,165,65
8/9/2023,1017,688,176,512,78,441,463,248,164,47,99,486,460,86,104,28,0,150,122,50
8/10/2023,810,627,179,385,63,329,471,234,128,36,110,351,137,91,83,17,0,160,98,45
8/11/2023,719,604,176,348,65,314,353,187,131,60,124,322,116,96,117,22,0,134,101,32
8/12/2023,430,600,187,256,51,238,436,99,63,39,126,303,89,67,112,11,0,89,63,27
8/13/2023,696,691,286,245,56,222,793,113,78,22,123,378,102,72,125,10,0,132,67,31
8/14/2023,695,745,337,329,69,288,728,220,120,28,103,386,132,98,111,21,0,313,102,35
8/15/2023,903,748,241,415,80,342,452,212,138,64,123,352,140,128,91,26,0,298,110,47
8/16/2023,1126,676,360,494,103,375,345,221,182,44,117,364,150,128,105,27,0,416,117,55
8/17/2023,2323,712,414,899,155,600,478,316,333,96,116,366,284,196,137,69,0,266,207,94
8/18/2023,1412,676,253,485,77,407,484,222,218,100,136,300,163,148,96,38,0,182,96,66
8/19/2023,666,582,168,289,53,244,550,122,122,59,143,194,133,93,86,26,0,97,69,40
8/20/2023,543,548,164,226,45,184,358,105,99,43,102,169,97,84,95,22,0,108,51,38
8/21/2023,779,751,419,367,73,274,257,180,173,51,108,219,141,103,81,28,0,148,98,49
8/22/2023,1161,767,378,771,78,357,253,212,191,54,123,239,163,127,82,37,0,162,141,64
8/23/2023,1045,753,182,420,66,359,317,209,187,53,128,231,152,123,63,51,0,171,100,51
8/24/2023,820,776,245,342,52,312,293,184,158,37,108,201,139,87,74,35,0,153,88,38
8/25/2023,822,815,187,319,69,287,260,192,142,71,135,205,121,106,59,34,0,156,66,36
8/26/2023,413,546,139,189,42,188,352,66,62,37,144,163,55,69,61,19,0,74,50,22
8/27/2023,497,582,155,199,36,164,314,90,89,26,122,157,67,61,65,23,0,89,53,22
8/28/2023,715,788,212,251,43,213,257,142,150,28,104,213,94,83,68,70,0,145,58,38
8/29/2023,1552,775,251,487,85,413,302,260,274,61,139,295,189,130,87,66,0,190,133,65
8/30/2023,923,714,203,347,58,276,250,193,204,93,136,210,154,84,67,60,0,171,78,42
8/31/2023,1258,770,236,414,64,330,281,233,247,66,120,279,221,116,88,41,0,174,109,63
9/1/2023,1066,650,237,355,65,269,222,202,233,62,136,268,220,93,87,37,0,178,88,45
9/2/2023,570,625,152,214,30,183,229,99,148,35,139,204,202,64,56,17,0,106,42,25
9/3/2023,880,622,157,173,47,150,223,99,142,31,125,193,465,61,65,38,0,103,33,40
9/4/2023,892,704,203,265,45,212,238,140,519,31,95,207,236,72,57,36,0,123,72,39
9/5/2023,809,825,213,284,41,233,202,167,384,31,108,236,123,72,53,37,0,137,53,37
9/6/2023,848,804,249,267,63,237,250,184,310,32,140,239,136,103,75,39,0,145,50,44
9/7/2023,858,832,268,262,50,232,297,170,274,29,160,271,123,99,96,40,0,177,54,46
9/8/2023,855,833,291,247,45,213,241,144,211,44,134,250,115,70,79,25,0,120,40,34
9/9/2023,382,585,273,149,30,144,226,65,155,35,141,203,73,44,48,14,0,51,27,21
9/10/2023,917,741,336,246,64,226,226,121,219,29,178,298,112,102,66,28,0,131,49,43
9/11/2023,1537,832,442,439,86,328,194,206,285,51,130,341,186,110,96,66,0,161,63,49
9/12/2023,1139,966,280,338,59,308,220,221,247,41,123,356,145,117,90,47,0,138,60,60
9/13/2023,873,859,289,270,45,259,202,205,198,31,113,315,136,97,76,28,0,124,43,38
9/14/2023,1011,871,429,309,63,290,385,185,269,32,130,267,139,86,77,33,0,139,41,43
9/15/2023,909,748,1245,260,55,260,533,165,258,45,145,241,152,64,64,29,0,123,36,33
9/16/2023,607,818,593,180,44,200,363,103,165,25,139,186,91,57,39,13,0,107,35,26
9/17/2023,599,711,878,180,31,185,397,101,155,19,143,181,104,71,49,12,0,85,29,27
9/18/2023,1191,973,1259,335,54,302,345,184,266,32,135,269,180,86,80,37,0,136,48,53
9/19/2023,919,833,1281,314,50,281,301,181,200,25,140,244,131,82,57,37,0,128,53,34
9/20/2023,979,872,1049,316,48,291,300,186,288,36,149,247,158,76,68,34,0,145,48,45
9/21/2023,1009,743,1294,324,52,296,288,189,212,42,167,262,161,92,73,35,0,157,54,54
9/22/2023,721,537,1083,253,33,240,255,164,156,40,141,218,116,66,55,14,0,95,35,28
9/23/2023,496,793,984,139,31,145,232,89,101,17,187,171,98,56,50,9,0,59,15,24
9/24/2023,628,651,996,182,31,189,208,99,133,16,178,173,112,57,50,14,0,73,22,39
9/25/2023,932,837,1399,261,44,255,210,136,188,21,125,246,133,68,50,31,0,180,32,36
9/26/2023,3908,714,1423,239,31,241,202,156,126,11,121,200,125,65,48,15,0,121,42,27
9/27/2023,15767,968,775,318,53,300,209,190,206,20,119,251,157,95,46,28,0,161,42,53
9/28/2023,15157,889,646,376,63,367,199,202,303,20,145,280,161,85,52,45,0,156,48,39
9/29/2023,16756,915,615,310,51,313,237,192,185,37,145,247,138,89,45,32,0,129,43,42
9/30/2023,22261,671,527,241,37,231,252,122,197,15,165,216,111,78,51,17,0,84,30,25
10/1/2023,22149,974,1015,341,54,301,210,149,365,31,184,252,155,117,72,30,0,134,49,51
10/2/2023,5976,895,1108,445,85,415,206,244,290,29,166,331,211,114,75,46,0,174,58,64
10/3/2023,3328,819,976,301,48,288,284,233,233,17,155,266,144,84,52,40,0,151,41,29
10/4/2023,2602,743,900,324,67,307,237,200,236,22,159,272,150,90,48,31,0,171,46,49
10/5/2023,1902,875,730,309,48,288,278,192,260,21,167,281,164,72,50,27,0,144,48,56
10/6/2023,1659,872,722,312,74,303,244,174,223,26,134,264,157,78,59,20,0,151,40,46
10/7/2023,1040,645,698,189,45,187,260,122,281,42,175,198,127,55,52,13,0,91,22,21
10/8/2023,1082,761,542,196,48,182,210,122,180,14,197,239,133,95,40,17,0,103,21,36
10/9/2023,2281,971,621,348,63,305,260,213,260,35,154,317,186,92,62,29,0,146,36,48
10/10/2023,1026,911,427,267,38,242,219,191,179,41,139,285,137,57,42,37,0,105,29,33
10/11/2023,1325,942,492,332,55,296,263,204,237,22,128,313,181,78,52,46,0,143,42,59
10/12/2023,1416,880,758,322,48,282,298,206,209,33,167,248,200,88,56,39,0,127,35,51
10/13/2023,994,786,283,296,37,287,224,198,222,38,172,234,181,77,44,26,0,116,35,36
10/14/2023,563,551,199,161,25,163,161,88,141,22,163,193,202,56,39,10,0,51,19,12
10/15/2023,721,932,238,163,29,166,188,121,187,20,198,201,205,47,46,15,0,74,21,30
10/16/2023,1749,958,363,444,101,401,224,278,303,31,185,344,364,120,94,49,0,151,53,72
10/17/2023,1237,686,299,301,65,273,221,216,221,31,160,247,219,90,60,32,0,116,32,39
10/18/2023,1074,772,500,289,55,258,262,213,235,17,145,215,217,80,66,24,0,119,33,43
10/19/2023,1240,1445,452,303,55,291,255,235,219,23,151,222,214,88,53,20,0,125,37,41
10/20/2023,1552,1891,673,418,70,364,216,242,301,29,181,325,286,88,73,39,0,142,62,56
10/21/2023,1307,1443,559,366,74,333,174,200,218,18,251,268,193,95,37,25,0,93,47,34
10/22/2023,1170,1507,460,347,71,315,186,165,202,37,246,302,212,106,32,27,0,97,47,41
10/23/2023,2444,1922,731,584,140,516,208,357,337,35,204,434,340,157,92,64,0,179,87,72
10/24/2023,2476,1715,616,585,96,545,235,379,310,41,242,462,1203,140,98,58,0,195,98,66
10/25/2023,1602,1401,445,484,59,462,233,319,255,6,202,374,653,121,91,47,0,152,54,47
10/26/2023,1650,1202,390,470,77,468,223,270,254,13,216,437,736,131,86,65,0,166,42,50
10/27/2023,1278,1670,330,382,55,361,181,238,232,25,197,410,449,106,78,45,0,134,48,54
10/28/2023,883,1204,175,261,38,253,204,155,167,16,215,411,407,99,49,25,0,76,24,10
10/29/2023,935,1107,229,273,45,278,215,178,222,43,231,526,384,108,56,27,0,125,26,19
10/30/2023,1191,1469,292,385,61,368,187,268,226,26,196,462,336,124,115,45,0,117,35,16
10/31/2023,1164,1760,1661,448,57,444,201,261,246,19,158,514,213,121,99,47,0,141,44,18
11/1/2023,1850,1879,421,555,85,530,208,339,319,19,177,651,270,125,118,68,0,173,64,32
11/2/2023,1742,1645,419,580,70,510,271,339,540,11,180,676,293,118,107,65,0,158,99,34
11/3/2023,1399,1294,259,419,56,394,188,202,872,26,207,577,239,120,86,56,0,144,61,24
11/4/2023,1131,1343,196,382,52,347,257,176,583,23,234,555,243,105,59,29,0,124,72,18
11/5/2023,1380,1412,368,452,58,413,286,216,437,15,228,659,283,147,57,40,0,131,68,27
11/6/2023,1315,1308,408,459,56,428,319,280,429,7,198,679,240,110,119,37,0,170,60,30
11/7/2023,1483,1486,632,456,68,419,276,290,342,9,182,723,287,113,146,47,0,147,59,32
11/8/2023,1323,1019,535,475,62,417,275,263,234,3,197,633,255,109,99,55,0,138,58,26
11/9/2023,3159,1713,1834,766,123,691,377,407,398,17,205,594,431,193,111,108,0,194,132,44
11/10/2023,1817,1341,463,565,99,516,369,323,305,24,197,626,319,156,75,61,0,158,86,30
11/11/2023,1507,1268,769,498,85,430,319,262,255,1,214,565,255,142,53,47,0,124,84,23
11/12/2023,1186,1062,294,464,74,420,347,272,246,44,227,452,237,130,45,38,0,113,67,22
11/13/2023,1476,1372,394,539,87,498,237,350,266,3,158,527,304,146,98,60,0,139,83,31
11/14/2023,1845,988,1199,548,96,473,261,343,289,6,183,554,347,175,84,63,0,180,62,31
11/15/2023,1626,1469,386,566,91,524,302,318,275,10,174,583,451,144,83,48,0,164,72,36
11/16/2023,1868,386,288,623,86,571,316,328,309,8,199,536,348,163,95,48,0,168,91,35
11/17/2023,1491,1011,299,512,72,466,254,263,345,21,183,467,261,157,139,40,0,148,53,23
11/18/2023,867,1149,228,321,45,318,275,159,204,41,160,361,235,119,54,23,0,98,36,18
11/19/2023,918,1296,221,361,48,345,238,180,245,16,188,344,362,116,52,26,0,121,57,15
11/20/2023,1755,1191,244,504,55,465,227,266,240,17,171,451,260,141,70,47,0,142,65,31
11/21/2023,3907,1485,265,601,79,502,239,305,332,27,171,527,340,186,147,59,0,182,85,34
11/22/2023,3104,1348,202,523,49,496,273,255,303,31,154,452,278,141,115,54,0,151,79,36
11/23/2023,2471,1353,226,318,46,333,333,194,209,23,172,348,204,56,76,43,0,104,40,37
11/24/2023,2574,1242,281,409,84,357,259,207,280,32,197,399,251,108,115,49,0,129,59,35
11/25/2023,2082,1102,236,297,61,291,228,148,176,18,207,346,171,95,96,23,0,84,40,19
11/26/2023,1611,1331,222,342,65,309,254,152,218,19,204,485,187,98,100,33,0,115,49,25
11/27/2023,1892,1309,241,431,50,378,209,225,264,26,174,588,242,117,122,30,0,123,63,40
11/28/2023,1372,1569,167,398,53,362,179,223,254,27,188,575,253,122,130,35,0,167,43,27
11/29/2023,1170,1558,161,376,63,345,169,226,264,13,166,579,222,96,118,27,0,148,43,39
11/30/2023,1017,1333,135,313,72,299,198,185,262,9,155,431,213,94,124,29,0,106,48,32
12/1/2023,1556,1417,193,438,69,387,163,245,337,24,168,459,276,115,94,31,0,142,48,35
12/2/2023,1527,1060,755,448,44,397,170,196,241,26,183,448,226,128,116,29,0,115,58,23
12/3/2023,1400,934,233,435,53,387,189,189,215,20,203,432,244,132,114,32,0,122,40,41
12/4/2023,2111,1313,311,607,70,519,187,357,341,37,174,555,410,144,180,56,0,166,87,43
12/5/2023,1893,1108,274,544,62,483,144,334,313,29,173,523,339,142,208,44,0,147,61,30
12/6/2023,1722,1103,207,527,63,476,135,316,289,25,169,521,280,116,218,42,0,118,52,39
12/7/2023,1840,1355,278,513,76,458,231,310,310,31,146,487,272,131,237,32,0,134,51,36
12/8/2023,1651,1095,289,545,66,499,177,320,302,34,154,463,302,123,322,37,0,130,55,24
12/9/2023,1437,1305,235,468,62,435,167,272,274,22,136,446,231,155,257,36,0,103,67,21
12/10/2023,1114,1111,177,390,49,362,189,213,242,16,165,360,191,118,271,24,0,83,52,21
12/11/2023,2328,1395,259,688,81,574,195,344,426,20,173,511,381,183,360,52,0,152,111,42
12/12/2023,1502,1029,178,487,63,443,418,288,352,2,177,393,272,141,414,26,0,124,70,26
12/13/2023,1671,1262,178,486,68,457,527,268,353,4,175,438,303,144,248,32,0,123,58,32
12/14/2023,1264,1010,176,409,62,407,350,269,299,4,122,369,235,138,191,27,0,126,61,30
12/15/2023,1098,1254,152,399,56,398,191,228,220,11,133,341,231,118,210,18,0,95,78,25
12/16/2023,746,929,130,333,38,330,221,194,256,7,164,274,198,106,225,12,0,79,95,17
12/17/2023,830,806,129,371,42,307,321,187,253,28,183,277,197,119,196,12,0,83,127,21
12/18/2023,1461,1345,154,482,61,414,284,278,340,16,130,362,265,140,297,26,0,120,88,26
12/19/2023,1093,1432,138,406,42,360,235,249,305,14,136,318,239,110,239,21,0,108,99,32
12/20/2023,1198,1208,183,442,34,382,217,254,241,15,134,365,319,132,211,22,0,113,91,43
12/21/2023,1211,1136,191,612,40,405,268,271,246,12,138,350,292,152,238,20,0,113,247,29
12/22/2023,1722,1051,229,481,47,433,197,303,280,23,165,419,259,210,216,26,0,122,70,20
12/23/2023,1017,1158,168,320,35,328,276,205,190,12,166,322,247,164,273,15,0,81,31,12
12/24/2023,1108,919,173,404,39,385,265,235,209,6,135,352,270,162,270,18,0,87,38,21
12/25/2023,823,1161,182,328,33,328,239,203,152,6,143,307,236,136,246,19,0,83,43,17
12/26/2023,1365,1358,225,453,46,411,263,279,271,2,148,378,354,154,309,33,0,119,57,26
12/27/2023,1342,941,212,453,44,426,276,287,284,11,153,375,290,183,308,35,0,119,53,39
12/28/2023,1653,1028,251,516,46,472,309,320,295,10,161,387,341,183,401,28,0,123,75,21
12/29/2023,1330,1256,171,379,35,351,325,412,287,11,146,356,314,166,542,22,0,116,50,23
12/30/2023,851,1145,163,235,26,253,431,358,513,12,158,269,216,125,283,18,0,88,39,14
